From from From
: : :
jr jr jr
0930 0930 0930
@ @ @
eve eve eve
. . .
albany albani albany
. . .
edu edu edu
( ( (
REGAN regan REGAN
JAMES jame JAMES
P p P
) ) )
Subject subject Subject
: : :
MACINTOSH macintosh MACINTOSH
- - -
PLUS plus PLUS
FOR for FOR
SALE sale SALE
Expires expir Expires
: : :
5 5 5
/ / /
5 5 5
/ / /
93 93 93
Organization organ Organization
: : :
State state State
University univers University
of of of
New new New
York york York
at at at
Albany albani Albany
Lines line Lines
: : :
16 16 16
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
F f F
O o O
R r R
S s S
A a A
L l L
E e E
C c C
H h H
E e E
A a A
P p P
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
* * *
Macintosh macintosh Macintosh
- - -
plus plus plus
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
+ + +
* * *
includes includ include
: : :
2 2 2
- - -
3 3 3
. . .
5 5 5
" " "
drives drive drive
( ( (
1 1 1
external extern external
) ) )
software softwar software
: : :
Word word Word
, , ,
Excel excel Excel
, , ,
Pascal pascal Pascal
, , ,
Intro intro Intro
package packag package
( ( (
Hypercard hypercard Hypercard
, , ,
Tour tour Tour
, , ,
etc etc etc
) ) )
Leaving leav Leaving
school school school
in in in
May may May
, , ,
must must must
sell sell sell
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
A a A
steal steal steal
at at at
$ $ $
450 450 450
please pleas please
reply repli reply
e e e
- - -
mail mail mail
- - -
- - -
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
jr jr jr
0930 0930 0930
@ @ @
eve eve eve
. . .
albany albani albany
. . .
edu edu edu
= = =
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
= = =
jr jr jr
0930 0930 0930
@ @ @
Albnyvms albnyvm Albnyvms
. . .
bitnet bitnet bitnet
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
ONLY onli ONLY
THE the THE
STRONG strong STRONG
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
| | |
