From from From
: : :
sponna sponna sponna
@ @ @
eos eo eos
. . .
ncsu ncsu ncsu
. . .
edu edu edu
( ( (
SRIKANTH srikanth SRIKANTH
PONNAPALLI ponnap PONNAPALLI
) ) )
Subject subject Subject
: : :
Super super Super
Scope scope Scope
6 6 6
for for for
sale sale sale
( ( (
SNES snes SNES
) ) )
Organization organ Organization
: : :
North north North
Carolina carolina Carolina
State state State
University univers University
Lines line Lines
: : :
17 17 17
Hello hello Hello
folks folk folk
, , ,
I i I
' ' '
ve ve ve
a a a
super super super
scope scope scope
6 6 6
for for for
sale sale sale
, , ,
it it it
comes come come
with with with
a a a
CRT crt CRT
and and and
all all all
boxes box box
and and and
instructions instruct instruction
included includ include
$ $ $
50 50 50
shipping ship shipping
included includ include
. . .
I i I
got got get
that that that
only onli only
a a a
month month month
back back back
and and and
used use use
only onli only
twice twice twice
. . .
- - -
- - -
, , ,
, , ,
, , ,
, , ,
, , ,
, , ,
( ( (
o o o
o o o
) ) )
( ( (
o o o
o o o
) ) )
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
oOO ooo oOO
_ _ _
_ _ _
( ( (
_ _ _
) ) )
_ _ _
_ _ _
OOo ooo OOo
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
oOO ooo oOO
_ _ _
_ _ _
( ( (
_ _ _
) ) )
_ _ _
_ _ _
OOo ooo OOo
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
| | |
| | |
| | |
| | |
Srikanth srikanth Srikanth
Ponnapalli ponnap Ponnapalli
| | |
E e E
- - -
mail mail mail
address address address
: : :
| | |
| | |
PoBox pobox PoBox
: : :
5604 5604 5604
, , ,
| | |
| | |
| | |
Raleigh raleigh Raleigh
N n N
. . .
C c C
. . .
27650 27650 27650
- - -
5604 5604 5604
| | |
sponna sponna sponna
@ @ @
eos eo eos
. . .
ncsu ncsu ncsu
. . .
edu edu edu
| | |
| | |
Phone phone Phone
: : :
( ( (
919 919 919
) ) )
781 781 781
- - -
5448 5448 5448
| | |
ponna ponna ponna
- - -
s s s
@ @ @
aza aza aza
. . .
csc csc csc
. . .
ncsu ncsu ncsu
. . .
edu edu edu
| | |
| | |
( ( (
after after after
9 9 9
: : :
00 00 00
pm pm pm
) ) )
| | |
sponnapa sponnapa sponnapa
@ @ @
math math math
. . .
ncsu ncsu ncsu
. . .
edu edu edu
| | |
| | |
| | |
| | |
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
( ( (
_ _ _
_ _ _
) ) )
( ( (
_ _ _
_ _ _
) ) )
( ( (
_ _ _
_ _ _
) ) )
( ( (
_ _ _
_ _ _
) ) )
