From from From
: : :
apland apland apland
@ @ @
mala mala mala
. . .
bc bc bc
. . .
ca ca ca
( ( (
Ron ron Ron
Apland apland Apland
) ) )
Subject subject Subject
: : :
Re re Re
: : :
W w W
4 4 4
WG wg WG
& & &
Novell novel Novell
Organization organ Organization
: : :
Malaspina malaspina Malaspina
College colleg College
Lines line Lines
: : :
29 29 29
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
27 27 27
. . .
102626 102626 102626
. . .
1 1 1
@ @ @
csc csc csc
. . .
canterbury canterburi canterbury
. . .
ac ac ac
. . .
nz nz nz
> > >
, , ,
cctr cctr cctr
132 132 132
@ @ @
csc csc csc
. . .
canterbury canterburi canterbury
. . .
ac ac ac
. . .
nz nz nz
( ( (
Nick nick Nick
FitzGerald fitzgerald FitzGerald
, , ,
PC pc PC
Software softwar Software
Consultant consult Consultant
, , ,
CSC csc CSC
, , ,
UoC uoc UoC
, , ,
NZ nz NZ
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
1 1 1
rh rh rh
2 2 2
mi mi mi
$ $ $
ea ea ea
4 4 4
@ @ @
msuinfo msuinfo msuinfo
. . .
cl cl cl
. . .
msu msu msu
. . .
edu edu edu
> > >
, , ,
bilan bilan bilan
@ @ @
cps cps cps
. . .
msu msu msu
. . .
edu edu edu
( ( (
Thomas thoma Thomas
J j J
> > >
Bilan bilan Bilan
) ) )
writes write write
: : :
> > >
> > >
> > >
If if If
I i I
put put put
LASTDRIVE lastdriv LASTDRIVE
= = =
Z z Z
in in in
my my my
config config config
. . .
sys sys sys
, , ,
NETX netx NETX
will will will
run run run
but but but
I i I
can can can
' ' '
t t t
access access access
> > >
> > >
drive drive drive
f f f
: : :
to to to
log log log
in in in
to to to
Novell novel Novell
. . .
> > >
> > >
If if If
I i I
don don don
' ' '
t t t
put put put
LASTDRIVE lastdriv LASTDRIVE
= = =
Z z Z
in in in
my my my
config config config
. . .
sys sys sys
I i I
can can can
' ' '
t t t
access access access
other other other
W w W
4 4 4
WG wg WG
> > >
> > >
drives drive drive
from from from
the the the
file file file
- - -
manager manag manager
. . .
> > >
> > >
> > >
> > >
It it It
seems seem seem
that that that
there there there
should should should
be be be
a a a
way way way
to to to
make make make
NETX netx NETX
work work work
with with with
the the the
LASTDRIVE lastdriv LASTDRIVE
= = =
> > >
> > >
statement statement statement
in in in
my my my
Config config Config
. . .
Sys sys Sys
. . .
> > >
> > >
First first First
off off off
, , ,
I i I
haven haven haven
' ' '
t t t
used use use
W w W
4 4 4
WG wg WG
( ( (
but but but
I i I
think think think
that that that
' ' '
s s s
about about about
to to to
change chang change
! ! !
) ) )
. . .
> > >
> > >
The the The
problem problem problem
is is be
the the the
LASTDRIVE lastdriv LASTDRIVE
command command command
and and and
the the the
way way way
NetWare netwar NetWare
in in in
general general general
( ( (
and and and
> > >
in in in
this this this
case case case
NETX netx NETX
in in in
particular particular particular
) ) )
adds add add
drives drive drive
to to to
the the the
device devic device
chain chain chain
. . .
> > >
Setting set Setting
LASTDRIVE lastdriv LASTDRIVE
= = =
Z z Z
means mean mean
there there there
are are be
no no no
" " "
unassigned unassign unassigned
" " "
( ( (
as as a
opposed oppos oppose
to to to
> > >
" " "
unused unus unused
" " "
) ) )
drive drive drive
letters letter letter
for for for
NetWare netwar NetWare
to to to
use use use
, , ,
as as a
it it it
tacks tack tack
its it it
drive drive drive
> > >
mappings map mapping
- - -
onto onto onto
the the the
end end end
- - -
of of of
the the the
existing exist exist
list list list
of of of
drives drive drive
. . .
W w W
4 4 4
WG wg WG
obviously obvious obviously
> > >
attaches attach attach
its it it
network network network
drives drive drive
to to to
" " "
existing exist exist
, , ,
unused unus unused
" " "
drive drive drive
letters letter letter
. . .
> > >
> > >
I i I
' ' '
d d d
guess guess guess
the the the
next next next
thing thing thing
I i I
' ' '
d d d
try tri try
is is be
something someth something
like like like
LASTDRIVE lastdriv LASTDRIVE
= = =
M m M
, , ,
which which which
on on on
> > >
most most most
machines machin machine
will will will
leave leav leave
a a a
fair fair fair
swathe swath swathe
of of of
drives drive drive
for for for
W w W
4 4 4
WG wg WG
and and and
still still still
> > >
allow allow allow
up up up
to to to
13 13 13
NetWare netwar NetWare
drive drive drive
mappings map mapping
as as a
well well well
. . .
W w W
4 4 4
WG wg WG
requires requir require
DOS dos DOS
drives drive drive
. . .
I i I
use use use
LASTDRIVE lastdriv LASTDRIVE
= = =
J j J
which which which
makes make make
my my my
first first first
Novell novel Novell
drive drive drive
K k K
and and and
leaves leav leave
me me me
drives drive drive
G g G
, , ,
H h H
, , ,
I i I
and and and
J j J
for for for
W w W
4 4 4
WG wg WG
. . .
My my My
local local local
DOS dos DOS
drives drive drive
use use use
A a A
- - -
F f F
. . .
Ron ron Ron
