From from From
: : :
gary gari gary
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
( ( (
Gary gari Gary
Coffman coffman Coffman
) ) )
Subject subject Subject
: : :
Re re Re
: : :
What what What
if if if
the the the
USSR ussr USSR
had had have
reached reach reach
the the the
Moon moon Moon
first first first
? ? ?
Reply repli Reply
- - -
To to To
: : :
gary gari gary
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
UUCP uucp UUCP
( ( (
Gary gari Gary
Coffman coffman Coffman
) ) )
Organization organ Organization
: : :
Destructive destruct Destructive
Testing test Testing
Systems system Systems
Lines line Lines
: : :
38 38 38
In in In
article articl article
< < <
C c C
5 5 5
qIv qiv qIv
3 3 3
. . .
H h H
0 0 0
o o o
. . .
1 1 1
@ @ @
cs cs c
. . .
cmu cmu cmu
. . .
edu edu edu
> > >
nickh nickh nickh
@ @ @
CS cs CS
. . .
CMU cmu CMU
. . .
EDU edu EDU
( ( (
Nick nick Nick
Haines hain Haines
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
18 18 18
. . .
091051 091051 091051
. . .
14496 14496 14496
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
> > >
gary gari gary
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
( ( (
Gary gari Gary
Coffman coffman Coffman
) ) )
writes write write
: : :
> > >
If if If
I i I
read read read
you you you
right right right
, , ,
you you you
' ' '
re re re
saying say say
in in in
essence essenc essence
that that that
, , ,
with with with
a a a
larger larger large
> > >
economy economi economy
, , ,
nations nation nation
will will will
have have have
more more more
discretionary discretionari discretionary
funds fund fund
to to to
* * *
waste wast waste
* * *
on on on
a a a
> > >
lunar lunar lunar
facility facil facility
. . .
That that That
was was be
certainly certain certainly
partially partial partially
the the the
case case case
with with with
Apollo apollo Apollo
, , ,
> > >
but but but
real real real
Lunar lunar Lunar
colonies coloni colony
will will will
probably probabl probably
require requir require
a a a
continuing continu continue
> > >
military militari military
, , ,
scientific scientif scientific
, , ,
or or or
commercial commerci commercial
reason reason reason
for for for
being be be
rather rather rather
than than than
> > >
just just just
a a a
" " "
we we we
have have have
the the the
money money money
, , ,
why whi why
not not not
? ? ?
" " "
approach approach approach
. . .
> > >
> > >
Ah ah Ah
, , ,
but but but
the the the
whole whole whole
point point point
is is be
that that that
money money money
spent spent spend
on on on
a a a
lunar lunar lunar
base base base
is is be
not not not
> > >
wasted wast waste
on on on
the the the
moon moon moon
. . .
It it It
' ' '
s s s
not not not
like like like
they they they
' ' '
d d d
be be be
using use use
$ $ $
1000 1000 1000
( ( (
1000 1000 1000
R r R
? ? ?
) ) )
bills bill bill
> > >
to to to
fuel fuel fuel
their their their
moon moon moon
- - -
dozers dozer dozer
. . .
The the The
money money money
to to to
fund fund fund
a a a
lunar lunar lunar
base base base
would would would
be be be
> > >
spent spent spend
in in in
the the the
country countri country
to to to
which which which
the the the
base base base
belonged belong belong
. . .
It it It
' ' '
s s s
a a a
way way way
of of of
funding fund funding
> > >
high high high
- - -
tech tech tech
research research research
, , ,
just just just
like like like
DARPA darpa DARPA
was was be
a a a
good good good
excuse excus excuse
to to to
fund fund fund
various various various
> > >
fields field field
of of of
research research research
, , ,
under under under
the the the
pretense pretens pretense
that that that
it it it
was was be
crucial crucial crucial
to to to
the the the
> > >
defense defens defense
of of of
the the the
country countri country
, , ,
or or or
like like like
ESPRIT esprit ESPRIT
is is be
a a a
good good good
excuse excus excuse
for for for
the the the
EC ec EC
to to to
> > >
fund fund fund
