From from From
: : :
HK hk HK
. . .
MLR mlr MLR
@ @ @
forsythe forsyth forsythe
. . .
stanford stanford stanford
. . .
edu edu edu
( ( (
Mark mark Mark
Rogowsky rogowski Rogowsky
) ) )
Subject subject Subject
: : :
Re re Re
: : :
PDS pds PDS
vs vs v
. . .
Nubus nubus Nubus
( ( (
was was be
Re re Re
: : :
LC lc LC
III iii III
NuBus nubus NuBus
Capable capabl Capable
? ? ?
) ) )
Organization organ Organization
: : :
Stanford stanford Stanford
University univers University
Lines line Lines
: : :
42 42 42
Distribution distribut Distribution
: : :
usa usa usa
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
morrow morrow morrow
. . .
stanford stanford stanford
. . .
edu edu edu
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
16 16 16
. . .
191259 191259 191259
. . .
1 1 1
@ @ @
fnalf fnalf fnalf
. . .
fnal fnal fnal
. . .
gov gov gov
> > >
, , ,
higgins higgin higgins
@ @ @
fnalf fnalf fnalf
. . .
fnal fnal fnal
. . .
gov gov gov
( ( (
Bill bill Bill
Higgins higgin Higgins
- - -
- - -
Beam beam Beam
Jockey jockey Jockey
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
C c C
5 5 5
KzLs kzls KzLs
. . .
KKB kkb KKB
@ @ @
dartvax dartvax dartvax
. . .
dartmouth dartmouth dartmouth
. . .
edu edu edu
> > >
, , ,
hades hade hades
@ @ @
coos coo coo
. . .
dartmouth dartmouth dartmouth
. . .
edu edu edu
( ( (
Brian brian Brian
V v V
. . .
Hughes hugh Hughes
) ) )
writes write write
: : :
> > >
> > >
mmiller mmiller mmiller
@ @ @
garnet garnet garnet
. . .
msen msen msen
. . .
com com com
( ( (
Marvin marvin Marvin
Miller miller Miller
) ) )
writes write write
: : :
> > >
> > >
> > >
My my My
friend friend friend
recently recent recently
purchased purchas purchase
a a a
LC lc LC
III iii III
and and and
he he he
wants want want
to to to
know know know
if if if
there there there
is is be
> > >
> > >
> > >
such such such
a a a
demon demon demon
called call call
NuBus nubus NuBus
adapter adapt adapter
for for for
his his his
PDS pds PDS
slot slot slot
? ? ?
> > >
> > >
> > >
The the The
LC lc LC
family famili family
of of of
Macs mac Macs
can can can
only onli only
> > >
> > >
use use use
PDS pds PDS
cards card card
. . .
They they They
are are be
not not not
able abl able
to to to
use use use
NuBus nubus NuBus
. . .
> > >
> > >
Ah ah Ah
, , ,
but but but
why whi why
? ? ?
Can can Can
some some some
technically technic technically
- - -
hip hip hip
Macslinger macsling Macslinger
tell tell tell
us us u
what what what
the the the
> > >
difference differ difference
is is be
between between between
PDS pds PDS
and and and
Nubus nubus Nubus
? ? ?
> > >
> > >
Is is Is
it it it
impossible imposs impossible
to to to
make make make
a a a
gadget gadget gadget
that that that
plugs plug plug
into into into
PDS pds PDS
and and and
ends end end
in in in
a a a
> > >
Nubus nubus Nubus
card card card
cage cage cage
? ? ?
At at At
least least least
, , ,
Marvin marvin Marvin
' ' '
s s s
friend friend friend
has has have
not not not
been been be
able abl able
to to to
> > >
locate locat locate
one one one
and and and
neither neither neither
have have have
I i I
. . .
What what What
is is be
the the the
fundamental fundament fundamental
reason reason reason
for for for
> > >
this this this
? ? ?
> > >
> > >
- - -
- - -
> > >
O o O
~ ~ ~
~ ~ ~
* * *
/ / /
_ _ _
) ) )
' ' '
/ / /
/ / /
/ / /
_ _ _
/ / /
' ' '
, , ,
, , ,
' ' '
, , ,
_ _ _
_ _ _
\ \ \
| | |
/ / /
> > >
- - -
~ ~ ~
- - -
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
/ / /
_ _ _
) ) )
/ / /
/ / /
/ / /
/ / /
/ / /
/ / /
( ( (
_ _ _
) ) )
( ( (
_ _ _
) ) )
/ / /
/ / /
/ / /
_ _ _
\ \ \
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
zap zap zap
! ! !
> > >
/ / /
\ \ \
( ( (
