From from From
: : :
ccw ccw ccw
@ @ @
lancelot lancelot lancelot
. . .
NoSubdomain nosubdomain NoSubdomain
. . .
NoDomain nodomain NoDomain
( ( (
Christopher christoph Christopher
Wood wood Wood
) ) )
Subject subject Subject
: : :
Re re Re
: : :
How how How
long long long
do do do
RAM ram RAM
SIMM simm SIMM
' ' '
s s s
last last last
? ? ?
Organization organ Organization
: : :
Bellcore bellcor Bellcore
, , ,
Livingston livingston Livingston
, , ,
NJ nj NJ
Distribution distribut Distribution
: : :
usa usa usa
Lines line Lines
: : :
21 21 21
In in In
article articl article
< < <
noah noah noah
- - -
160493095418 160493095418 160493095418
@ @ @
noah noah noah
. . .
apple appl apple
. . .
com com com
> > >
, , ,
noah noah noah
@ @ @
apple appl apple
. . .
com com com
( ( (
Noah noah Noah
Price price Price
) ) )
writes write write
: : :
| | |
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
11 11 11
. . .
234818 234818 234818
. . .
1755 1755 1755
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
> > >
, , ,
| | |
> > >
jek jek jek
5036 5036 5036
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
( ( (
J j J
. . .
E e E
. . .
King king King
) ) )
wrote wrote write
: : :
| | |
> > >
> > >
Doesn doesn Doesn
' ' '
t t t
a a a
1 1 1
MB mb MB
SIMM simm SIMM
have have have
about about about
1024 1024 1024
* * *
1024 1024 1024
* * *
8 8 8
moving move move
flip flip flip
- - -
flops flop flop
? ? ?
| | |
> > >
They they They
don don don
' ' '
t t t
move move move
, , ,
to to to
anybody anybodi anybody
much much much
bigger bigger big
than than than
an an an
electron electron electron
: : :
- - -
) ) )
Dynamic dynam Dynamic
RAM ram RAM
is is be
not not not
based base base
on on on
flip flip flip
- - -
flops flop flop
; ; ;
there there there
' ' '
s s s
basically basic basically
a a a
single singl single
transistor transistor transistor
and and and
capacitor capacitor capacitor
to to to
store store store
each each each
bit bit bit
! ! !
Static static Static
RAM ram RAM
is is be
based base base
on on on
flip flip flip
- - -
flops flop flop
, , ,
and and and
is is be
much much much
more more more
expensive expens expensive
and and and
much much much
less less less
dense dens dense
. . .
And and And
neither neither neither
has has have
any ani any
parts part part
that that that
" " "
move move move
" " "
, , ,
if if if
electrons electron electron
and and and
thermal thermal thermal
expansion expans expansion
are are be
ignored ignor ignore
. . .
. . .
. . .
| | |
> > >
noah noah noah
Chris chris Chris
- - -
- - -
Chris chris Chris
Wood wood Wood
Bellcore bellcor Bellcore
ccw ccw ccw
@ @ @
ctt ctt ctt
. . .
bellcore bellcor bellcore
. . .
com com com
