From from From
: : :
mangoe mango mangoe
@ @ @
cs cs c
. . .
umd umd umd
. . .
edu edu edu
( ( (
Charley charley Charley
Wingate wingat Wingate
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Gospel gospel Gospel
Dating date Dating
Lines line Lines
: : :
48 48 48
> > >
So so So
then then then
, , ,
you you you
require requir require
the the the
same same same
amount amount amount
of of of
evidence evid evidence
to to to
believe believ believe
that that that
I i I
> > >
a a a
) ) )
own own own
a a a
pair pair pair
of of of
bluejeans bluejean bluejeans
and and and
b b b
) ) )
have have have
superhuman superhuman superhuman
powers power power
? ? ?
Well well Well
, , ,
I i I
could could could
use use use
the the the
argument argument argument
that that that
some some some
here here here
use use use
about about about
" " "
nature natur nature
" " "
and and and
claim claim claim
that that that
you you you
cannot cannot cannot
have have have
superhuman superhuman superhuman
powers power power
because becaus because
you you you
are are be
a a a
human human human
; ; ;
superhuman superhuman superhuman
powers power power
are are be
beyond beyond beyond
what what what
a a a
human human human
has has have
, , ,
and and and
since sinc since
you you you
are are be
a a a
human human human
, , ,
any ani any
powers power power
you you you
have have have
are are be
not not not
beyond beyond beyond
those those those
of of of
a a a
human human human
. . .
Hence henc Hence
, , ,
you you you
cannot cannot cannot
have have have
superhuman superhuman superhuman
powers power power
. . .
Sound sound Sound
good good good
to to to
you you you
? ? ?
Anyway anyway Anyway
, , ,
to to to
the the the
evidence evid evidence
question question question
: : :
it it it
depends depend depend
on on on
the the the
context context context
. . .
In in In
this this this
group group group
, , ,
since sinc since
you you you
are are be
posting post post
from from from
a a a
american american american
college colleg college
site site site
, , ,
I i I
' ' '
m m m
willing will willing
to to to
take take take
it it it
as as a
given given give
that that that
you you you
have have have
a a a
pair pair pair
of of of
blue blue blue
jeans jean jean
. . .
And and And
, , ,
assuming assum assume
there there there
is is be
some some some
coherency coher coherency
in in in
your your your
position posit position
, , ,
I i I
will will will
take take take
it it it
as as a
a a a
given given give
that that that
you you you
do do do
not not not
have have have
superhuman superhuman superhuman
powers power power
. . .
Arguments argument Arguments
are are be
evidence evid evidence
in in in
themselves themselv themselves
, , ,
in in in
some some some
respects respect respect
. . .
> > >
When when When
you you you
say say say
the the the
" " "
existence exist existence
of of of
[ [ [
sic sic sic
] ] ]
Jesus jesus Jesus
" " "
, , ,
I i I
assume assum assume
that that that
you you you
> > >
mean mean mean
just just just
the the the
man man man
, , ,
without without without
any ani any
special special special
powers power power
, , ,
etc etc etc
. . .
Yep yep Yep
. . .
> > >
Many mani Many
will will will
agree agre agree
that that that
it it it
is is be
very veri very
possible possibl possible
that that that
a a a
man man man
called call call
Jesus jesus Jesus
DID did DID
> > >
in in in
fact fact fact
live live live
. . .
In in In
fact fact fact
, , ,
I i I
am am be
willing will willing
to to to
agree agre agree
that that that
there there there
was was be
some some some
man man man
named name name
> > >
Jesus jesus Jesus
. . .
I i I
have have have
no no no
reason reason reason
to to to
believe believ believe
that that that
there there there
wasn wasn wasn
' ' '
t t t
ever ever ever
a a a
man man man
. . .
Good good Good
. . .
> > >
However howev However
, , ,
most most most
of of of
the the the
claims claim claim
ARE are ARE
extradinary extradinari extradinary
: : :
eg eg eg
virgin virgin virgin
birth birth birth
> > >
[ [ [
virgin virgin virgin
in in in
the the the
sense sens sense
of of of
not not not
having have have
any ani any
sexual sexual sexual
intercourse intercours intercourse
] ] ]
, , ,
resurection resurect resurection
, , ,
> > >
Son son Son
of of of
God god God
, , ,
etc etc etc
. . .
THOSE those THOSE
claims claim claim
require requir require
extra extra extra
evidence evid evidence
. . .
" " "
Extra extra Extra
" " "
evidence evid evidence
? ? ?
Why whi Why
don don don
' ' '
t t t
we we we
start start start
with with with
evidence evid evidence
at at at
all all all
? ? ?
I i I
cannot cannot cannot
see see see
any ani any
evidence evid evidence
for for for
the the the
V v V
. . .
B b B
. . .
which which which
the the the
cynics cynic cynic
in in in
this this this
group group group
would would would
ever ever ever
accept accept accept
. . .
As as As
for for for
the the the
second second second
, , ,
it it it
is is be
the the the
foundation foundat foundation
of of of
the the the
religion religion religion
. . .
Anyone anyon Anyone
who who who
claims claim claim
to to to
have have have
seen seen see
the the the
risen risen risen
Jesus jesus Jesus
( ( (
back back back
in in in
the the the
40 40 40
day day day
period period period
) ) )
is is be
a a a
believer believ believer
, , ,
and and and
therefore therefor therefore
is is be
discounted discount discount
by by by
those those those
in in in
this this this
group group group
; ; ;
since sinc since
these these these
are are be
all all all
ancients ancient ancient
anyway anyway anyway
, , ,
one one one
again again again
to to to
choose choos choose
to to to
dismiss dismiss dismiss
the the the
whole whole whole
thing thing thing
. . .
The the The
third third third
is is be
as as as
much much much
a a a
metaphysical metaphys metaphysical
relationship relationship relationship
as as a
anything anyth anything
else els else
- - -
- - -
even even even
those those those
who who who
agree agre agree
to to to
it it it
have have have
argued argu argue
at at at
length length length
over over over
what what what
it it it
* * *
means mean mean
* * *
, , ,
so so so
again again again
I i I
don don don
' ' '
t t t
see see see
how how how
evidence evid evidence
is is be
possible possibl possible
. . .
I i I
thus thus thus
interpret interpret interpret
the the the
" " "
extraordinary extraordinari extraordinary
claims claim claim
" " "
claim claim claim
as as a
a a a
statement statement statement
that that that
the the the
speaker speaker speaker
will will will
not not not
accept accept accept
* * *
any ani any
* * *
evidence evid evidence
on on on
the the the
matter matter matter
. . .
- - -
- - -
C c C
. . .
Wingate wingat Wingate
+ + +
" " "
The the The
peace peac peace
of of of
God god God
, , ,
it it it
is is be
no no no
peace peac peace
, , ,
+ + +
but but but
strife strife strife
closed close close
in in in
the the the
sod sod sod
. . .
mangoe mango mangoe
@ @ @
cs cs c
. . .
umd umd umd
. . .
edu edu edu
+ + +
Yet yet Yet
, , ,
brothers brother brother
, , ,
pray pray pray
for for for
but but but
one one one
thing thing thing
: : :
tove tove tove
! ! !
mangoe mango mangoe
+ + +
the the the
marv marv marv
' ' '
lous lous lous
peace peac peace
of of of
God god God
. . .
" " "
