zaphod zaphod zaphod
. . .
mps mps mp
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
! ! !
usc usc usc
! ! !
elroy elroy elroy
. . .
jpl jpl jpl
. . .
nasa nasa nasa
. . .
gov gov gov
! ! !
nntp nntp nntp
- - -
server server server
. . .
caltech caltech caltech
. . .
edu edu edu
! ! !
juliet juliet juliet
. . .
caltech caltech caltech
. . .
edu edu edu
! ! !
lmh lmh lmh
Subject subject Subject
: : :
Re re Re
: : :
Americans american Americans
and and and
Evolution evolut Evolution
From from From
: : :
lmh lmh lmh
@ @ @
juliet juliet juliet
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Henling henl Henling
, , ,
Lawrence lawrenc Lawrence
M m M
. . .
) ) )
Distribution distribut Distribution
: : :
world world world
, , ,
local local local
Organization organ Organization
: : :
California california California
Institute institut Institute
of of of
Technology technolog Technology
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
juliet juliet juliet
. . .
caltech caltech caltech
. . .
edu edu edu
News news News
- - -
Software softwar Software
: : :
VAX vax VAX
/ / /
VMS vms VMS
VNEWS vnew VNEWS
1 1 1
. . .
41 41 41
Lines line Lines
: : :
18 18 18
In in In
article articl article
< < <
1 1 1
APR apr APR
199313404295 199313404295 199313404295
@ @ @
skyblu skyblu skyblu
. . .
ccit ccit ccit
. . .
arizona arizona arizona
. . .
edu edu edu
< < <
, , ,
lippard lippard lippard
@ @ @
skyblu skyblu skyblu
. . .
ccit ccit ccit
. . .
arizona arizona arizona
. . .
edu edu edu
( ( (
James jame James
J j J
. . .
Lippard lippard Lippard
) ) )
writes write write
. . .
. . .
. . .
< < <
In in In
article articl article
< < <
31 31 31
MAR mar MAR
199321091163 199321091163 199321091163
@ @ @
juliet juliet juliet
. . .
caltech caltech caltech
. . .
edu edu edu
< < <
, , ,
lmh lmh lmh
@ @ @
juliet juliet juliet
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Henling henl Henling
, , ,
Lawrence lawrenc Lawrence
M m M
. . .
) ) )
writes write write
. . .
. . .
. . .
< < <
< < <
Atheism atheism Atheism
( ( (
Greek greek Greek
' ' '
a a a
' ' '
not not not
+ + +
' ' '
theos theo theos
' ' '
god god god
) ) )
Belief belief Belief
that that that
there there there
is is be
no no no
god god god
. . .
< < <
< < <
Agnosticism agnostic Agnosticism
( ( (
Greek greek Greek
' ' '
a a a
' ' '
not not not
+ + +
~ ~ ~
' ' '
gnostein gnostein gnostein
? ? ?
' ' '
know know know
) ) )
Belief belief Belief
that that that
it it it
is is be
< < <
< < <
not not not
possible possibl possible
to to to
determine determin determine
if if if
there there there
is is be
a a a
god god god
. . .
< < <
No no No
. . .
Agnosticism agnostic Agnosticism
as as a
you you you
have have have
here here here
defined defin define
it it it
is is be
a a a
positive posit positive
belief belief belief
- - -
- - -
a a a
< < <
belief belief belief
that that that
it it it
is is be
not not not
possible possibl possible
to to to
determine determin determine
the the the
existence exist existence
of of of
any ani any
gods god god
. . .
< < <
That that That
' ' '
s s s
a a a
belief belief belief
I i I
' ' '
m m m
inclined inclin incline
to to to
reject reject reject
. . .
You you You
have have have
also also also
defined defin define
atheism atheism atheism
< < <
here here here
as as a
a a a
positive posit positive
belief belief belief
- - -
- - -
that that that
there there there
is is be
no no no
god god god
. . .
A a A
fairly fair fairly
large larg large
number number number
< < <
of of of
atheists atheist atheist
on on on
alt alt alt
. . .
atheism atheism atheism
reject reject reject
this this this
definition definit definition
, , ,
instead instead instead
holding hold hold
that that that
< < <
atheism atheism atheism
is is be
simply simpli simply
the the the
absence absenc absence
of of of
belief belief belief
in in in
a a a
god god god
. . .
Michael michael Michael
Martin martin Martin
, , ,
in in in
< < <
_ _ _
Atheism atheism Atheism
: : :
A a A
Philosophical philosoph Philosophical
Justification justif Justification
_ _ _
, , ,
distinguishes distinguish distinguish
strong strong strong
atheism atheism atheism
My my My
mistake mistak mistake
. . .
I i I
will will will
have have have
to to to
get get get
a a a
newer newer new
dictionary dictionari dictionary
and and and
read read read
the the the
follow follow follow
up up up
line line line
. . .
larry larri larry
henling henl henling
lmh lmh lmh
@ @ @
shakes shake shake
. . .
caltech caltech caltech
. . .
edu edu edu
