From from From
: : :
twpierce twpierc twpierce
@ @ @
unix unix unix
. . .
amherst amherst amherst
. . .
edu edu edu
( ( (
Tim tim Tim
Pierce pierc Pierce
) ) )
Subject subject Subject
: : :
Re re Re
: : :
[ [ [
soc soc soc
. . .
motss motss mot
, , ,
et et et
al al al
. . .
] ] ]
" " "
Princeton princeton Princeton
axes axe ax
matching match match
funds fund fund
for for for
Boy boy Boy
Scouts scout Scouts
" " "
Article articl Article
- - -
I i I
. . .
D d D
. . .
: : :
unix unix unix
. . .
C c C
52 52 52
Cw cw Cw
7 7 7
. . .
I i I
6 6 6
t t t
Organization organ Organization
: : :
Blasny blasni Blasny
Blasny blasni Blasny
, , ,
Consolidated consolid Consolidated
( ( (
Amherst amherst Amherst
, , ,
MA ma MA
Offices offic Offices
) ) )
Lines line Lines
: : :
37 37 37
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
6 6 6
. . .
041343 041343 041343
. . .
24997 24997 24997
@ @ @
cbnewsl cbnewsl cbnewsl
. . .
cb cb cb
. . .
att att att
. . .
com com com
> > >
stank stank stank
@ @ @
cbnewsl cbnewsl cbnewsl
. . .
cb cb cb
. . .
att att att
. . .
com com com
( ( (
Stan stan Stan
Krieger krieger Krieger
) ) )
writes write write
: : :
> > >
Roger roger Roger
and and and
I i I
have have have
> > >
clearly clear clearly
stated state state
our our our
support support support
of of of
the the the
BSA bsa BSA
position posit position
on on on
the the the
issue issu issue
; ; ;
> > >
specifically specif specifically
, , ,
that that that
homosexual homosexu homosexual
behavior behavior behavior
constitutes constitut constitute
a a a
violation violat violation
of of of
> > >
the the the
Scout scout Scout
Oath oath Oath
( ( (
specifically specif specifically
, , ,
the the the
promise promis promise
to to to
live live live
" " "
morally moral morally
straight straight straight
" " "
) ) )
. . .
> > >
> > >
There there There
is is be
really realli really
nothing noth nothing
else els else
to to to
discuss discuss discuss
. . .
Apparently appar Apparently
not not not
. . .
In in In
response respons response
to to to
his his his
claim claim claim
that that that
it it it
" " "
terrifies terrifi terrifies
" " "
gay gay gay
people peopl people
not not not
to to to
be be be
able abl able
to to to
" " "
indoctrinate indoctrin indoctrinate
children children child
to to to
our our our
lifestyle lifestyl lifestyle
" " "
( ( (
or or or
words word word
to to to
that that that
effect effect effect
) ) )
, , ,
I i I
sent sent send
Roger roger Roger
a a a
very veri very
calm calm calm
, , ,
carefully care carefully
- - -
written written write
, , ,
detailed detail detailed
letter letter letter
explaining explain explain
simply simpli simply
why whi why
the the the
BSA bsa BSA
policy polici policy
does doe do
, , ,
indeed inde indeed
terrify terrifi terrify
me me me
. . .
I i I
did did do
not not not
use use use
inflammatory inflammatori inflammatory
language languag language
and and and
left left leave
myself myself myself
extremely extrem extremely
open open open
for for for
an an an
answer answer answer
. . .
Thus thus Thus
far far far
, , ,
I i I
have have have
not not not
received receiv receive
an an an
answer answer answer
. . .
I i I
can can can
conclude conclud conclude
only onli only
that that that
Roger roger Roger
considers consid consider
his his his
position posit position
either either either
indefensible indefens indefensible
or or or
simply simpli simply
not not not
worth worth worth
defending defend defend
. . .
> > >
Trying tri Trying
to to to
cloud cloud cloud
the the the
issue issu issue
> > >
with with with
comparisons comparison comparison
to to to
Blacks black Blacks
or or or
other other other
minorities minor minority
is is be
also also also
meaningless meaningless meaningless
> > >
because becaus because
it it it
' ' '
s s s
like like like
comparing compar compare
apples appl apple
to to to
oranges orang orange
( ( (
i i i
. . .
e e e
. . .
, , ,
people peopl people
can can can
' ' '
t t t
> > >
control control control
their their their
race race race
but but but
they they they
can can can
control control control
their their their
behavior behavior behavior
) ) )
. . .
In in In
fact fact fact
, , ,
that that that
' ' '
s s s
exactly exact exactly
the the the
point point point
: : :
people peopl people
can can can
control control control
their their their
behavior behavior behavior
. . .
Because becaus Because
of of of
that that that
fact fact fact
, , ,
there there there
is is be
no no no
need need need
for for for
a a a
blanket blanket blanket
ban ban ban
on on on
homosexuals homosexu homosexual
. . .
> > >
What what What
else els else
is is be
there there there
to to to
possibly possibl possibly
discuss discuss discuss
on on on
rec rec rec
. . .
scouting scout scout
on on on
this this this
issue issu issue
? ? ?
You you You
tell tell tell
me me me
. . .
- - -
- - -
_ _ _
_ _ _
_ _ _
_ _ _
Tim tim Tim
Pierce pierc Pierce
/ / /
? ? ?
Usted ust Usted
es es es
la la la
de de de
la la la
tele tele tele
, , ,
eh eh eh
? ? ?
! ! !
La la La
madre madr madre
\ \ \
/ / /
twpierce twpierc twpierce
@ @ @
unix unix unix
. . .
amherst amherst amherst
. . .
edu edu edu
/ / /
del del del
asesino asesino asesino
! ! !
! ! !
Ay ay Ay
, , ,
que que que
graciosa graciosa graciosa
! ! !
\ \ \
/ / /
( ( (
BITnet bitnet BITnet
: : :
TWPIERCE twpierc TWPIERCE
@ @ @
AMHERST amherst AMHERST
) ) )
/ / /
- - -
- - -
Pedro pedro Pedro
Almodovar almodovar Almodovar
