zaphod zaphod zaphod
. . .
mps mps mp
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
! ! !
wupost wupost wupost
! ! !
uunet uunet uunet
! ! !
olivea olivea olivea
! ! !
sgigate sgigat sgigate
! ! !
odin odin odin
! ! !
fido fido fido
! ! !
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
! ! !
livesey livesey livesey
Subject subject Subject
: : :
Re re Re
: : :
< < <
Political polit Political
Atheists atheist Atheists
? ? ?
From from From
: : :
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
Organization organ Organization
: : :
sgi sgi sgi
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
Lines line Lines
: : :
28 28 28
In in In
article articl article
< < <
1 1 1
pi pi pi
8 8 8
h h h
5 5 5
INNq innq INNq
40 40 40
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
, , ,
keith keith keith
@ @ @
cco cco cco
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Keith keith Keith
Allan allan Allan
Schneider schneider Schneider
) ) )
writes write write
: : :
| | |
> > >
( ( (
reference refer reference
line line line
trimmed trim trim
) ) )
| | |
> > >
| | |
> > >
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
writes write write
: : :
| | |
> > >
| | |
> > >
[ [ [
. . .
. . .
. . .
] ] ]
| | |
> > >
| | |
> > >
> > >
There there There
is is be
a a a
good good good
deal deal deal
more more more
confusion confus confusion
here here here
. . .
You you You
started start start
off off off
with with with
the the the
| | |
> > >
> > >
assertion assert assertion
that that that
there there there
was was be
some some some
" " "
objective object objective
" " "
morality moral morality
, , ,
and and and
as as a
you you you
admit admit admit
| | |
> > >
> > >
here here here
, , ,
you you you
finished finish finish
up up up
with with with
a a a
recursive recurs recursive
definition definit definition
. . .
Murder murder Murder
is is be
| | |
> > >
> > >
" " "
objectively object objectively
" " "
immoral immor immoral
, , ,
but but but
eactly eact eactly
what what what
is is be
murder murder murder
and and and
what what what
is is be
not not not
itself itself itself
| | |
> > >
> > >
requires requir require
an an an
appeal appeal appeal
to to to
morality moral morality
. . .
| | |
> > >
| | |
> > >
Yes yes Yes
. . .
| | |
> > >
| | |
> > >
> > >
Now now Now
you you you
have have have
switch switch switch
targets target target
a a a
little littl little
, , ,
but but but
only onli only
a a a
little littl little
. . .
Now now Now
you you you
are are be
| | |
> > >
> > >
asking ask ask
what what what
is is be
the the the
" " "
goal goal goal
" " "
? ? ?
What what What
do do do
you you you
mean mean mean
by by by
" " "
goal goal goal
? ? ?
" " "
. . .
Are are Are
you you you
| | |
> > >
> > >
suggesting suggest suggest
that that that
there there there
is is be
some some some
" " "
objective object objective
" " "
" " "
goal goal goal
" " "
out out out
there there there
somewhere somewher somewhere
, , ,
| | |
> > >
> > >
and and and
we we we
form form form
our our our
morals moral moral
to to to
achieve achiev achieve
it it it
? ? ?
| | |
> > >
| | |
> > >
Well well Well
, , ,
for for for
example exampl example
, , ,
the the the
goal goal goal
of of of
" " "
natural natur natural
" " "
morality moral morality
is is be
the the the
survival surviv survival
and and and
| | |
> > >
propogation propog propogation
of of of
the the the
species speci specie
. . .
I i I
got got get
just just just
this this this
far far far
. . .
What what What
do do do
you you you
mean mean mean
by by by
" " "
goal goal goal
" " "
? ? ?
I i I
hope hope hope
you you you
don don don
' ' '
t t t
mean mean mean
to to to
imply impli imply
that that that
evolution evolut evolution
has has have
a a a
conscious conscious conscious
" " "
goal goal goal
" " "
. . .
jon jon jon
. . .
