From from From
: : :
lucio lucio lucio
@ @ @
proxima proxima proxima
. . .
alt alt alt
. . .
za za za
( ( (
Lucio lucio Lucio
de de de
Re re Re
) ) )
Subject subject Subject
: : :
Re re Re
: : :
atheist atheist atheist
? ? ?
Reply repli Reply
- - -
To to To
: : :
lucio lucio lucio
@ @ @
proxima proxima proxima
. . .
Alt alt Alt
. . .
ZA za ZA
Organization organ Organization
: : :
MegaByte megabyt MegaByte
Digital digit Digital
Telecommunications telecommun Telecommunications
Lines line Lines
: : :
33 33 33
Tony toni Tony
Lezard lezard Lezard
< < <
tony toni tony
@ @ @
mantis manti mantis
. . .
co co co
. . .
uk uk uk
> > >
writes write writes
: : :
> > >
My my My
opinion opinion opinion
is is be
that that that
the the the
strong strong strong
atheist atheist atheist
position posit position
requires requir require
too too too
much much much
> > >
belief belief belief
for for for
me me me
to to to
be be be
comfortable comfort comfortable
with with with
. . .
Any ani Any
strong strong strong
atheists atheist atheist
out out out
there there there
> > >
care care care
to to to
comment comment comment
? ? ?
As as As
far far far
as as a
I i I
can can can
tell tell tell
, , ,
strong strong strong
atheists atheist atheist
are are be
far far far
> > >
outnumbered outnumb outnumber
on on on
alt alt alt
. . .
atheism atheism atheism
by by by
weak weak weak
atheists atheist atheist
. . .
At at At
the the the
cost cost cost
of of of
repudiating repudi repudiate
the the the
FAQ faq FAQ
, , ,
I i I
think think think
too too too
much much much
is is be
made made make
of of of
the the the
strong strong strong
vs vs v
weak weak weak
atheism atheism atheism
issue issu issue
, , ,
although although although
in in in
the the the
context context context
of of of
alt alt alt
. . .
atheism atheism atheism
, , ,
where where where
we we we
' ' '
re re re
continually continu continually
attacked attack attack
on on on
the the the
basis basi basis
that that that
strong strong strong
atheists atheist atheist
" " "
believe believ believe
" " "
in in in
the the the
non non non
- - -
existence exist existence
of of of
god god god
, , ,
I i I
think think think
the the the
separation separ separation
is is be
a a a
valid valid valid
one one one
. . .
To to To
cover cover cover
my my my
arse ars arse
, , ,
what what what
I i I
' ' '
m m m
trying tri try
to to to
say say say
is is be
that that that
there there there
is is be
an an an
infinitely infinit infinitely
grey grey grey
area area area
between between between
weak weak weak
and and and
strong strong strong
, , ,
as as as
well well well
as as a
between between between
strong strong strong
and and and
the the the
unattainable unattain unattainable
mathematical mathemat mathematical
atheism atheism atheism
( ( (
I i I
wish wish wish
! ! !
) ) )
. . .
Whereas wherea Whereas
I i I
_ _ _
logically logic logically
_ _ _
can can can
only onli only
support support support
the the the
weak weak weak
atheist atheist atheist
position posit position
, , ,
in in in
effect effect effect
I i I
am am be
a a a
strong strong strong
atheist atheist atheist
( ( (
and and and
wish wish wish
I i I
could could could
be be be
a a a
mathematical mathemat mathematical
one one one
) ) )
. . .
To to To
justify justifi justify
my my my
strong strong strong
atheist atheist atheist
position posit position
I i I
believe believ believe
I i I
need need need
only onli only
show show show
that that that
the the the
evidence evid evidence
presented present present
in in in
favour favour favour
of of of
any ani any
of of of
the the the
gods god god
under under under
scrutiny scrutini scrutiny
is is be
faulty faulti faulty
. . .
If if If
I i I
read read read
the the the
FAQ faq FAQ
correctly correct correctly
, , ,
no no no
argument argument argument
for for for
the the the
existence exist existence
of of of
god god god
( ( (
generic generic generic
, , ,
as as a
represented repres represent
by by by
mainstream mainstream mainstream
theologians theologian theologian
) ) )
has has have
ever ever ever
been been be
found found find
to to to
be be be
unassailable unassail unassailable
. . .
To to To
me me me
this this this
is is be
adequate adequ adequate
evidence evid evidence
that that that
the the the
_ _ _
real real real
_ _ _
god god god
_ _ _
is is be
undefinable undefin undefinable
( ( (
or or or
at at at
least least least
no no no
definition definit definition
has has have
yet yet yet
been been be
found found find
to to to
be be be
watertight watertight watertight
) ) )
, , ,
which which which
in in in
turn turn turn
I i I
accept accept accept
as as a
sufficient suffici sufficient
to to to
base base base
a a a
disbelief disbelief disbelief
in in in
each each each
and and and
every everi every
conceivable conceiv conceivable
god god god
. . .
I i I
' ' '
m m m
a a a
little littl little
fuzzy fuzzi fuzzy
on on on
the the the
edges edg edge
, , ,
though though though
, , ,
so so so
opinions opinion opinion
are are be
welcome welcom welcome
( ( (
but but but
perhaps perhap perhaps
we we we
should should should
change chang change
the the the
thread thread thread
subject subject subject
) ) )
. . .
- - -
- - -
Lucio lucio Lucio
de de de
Re re Re
( ( (
lucio lucio lucio
@ @ @
proxima proxima proxima
. . .
Alt alt Alt
. . .
ZA za ZA
) ) )
- - -
tab tab tab
stops stop stop
at at at
four four four
. . .
