From from From
: : :
nrp nrp nrp
@ @ @
st st st
- - -
andrews andrew andrew
. . .
ac ac ac
. . .
uk uk uk
( ( (
Norman norman Norman
R r R
. . .
Paterson paterson Paterson
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Had had Had
to to to
share share share
this this this
Organization organ Organization
: : :
St st St
. . .
Andrews andrew Andrews
University univers University
, , ,
Scotland scotland Scotland
. . .
Lines line Lines
: : :
66 66 66
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
03 03 03
. . .
232325 232325 232325
. . .
23178 23178 23178
@ @ @
acme acm acme
. . .
gen gen gen
. . .
nz nz nz
> > >
kilroy kilroy kilroy
@ @ @
acme acm acme
. . .
gen gen gen
. . .
nz nz nz
( ( (
earthbound earthbound earthbound
misfit misfit misfit
, , ,
I i I
) ) )
writes write write
: : :
> > >
bena bena bena
@ @ @
dec dec dec
07 07 07
. . .
cs cs c
. . .
monash monash monash
. . .
edu edu edu
. . .
au au au
( ( (
Ben ben Ben
Aveling avel Aveling
) ) )
writes write write
: : :
> > >
> > >
> > >
Warning warn Warning
- - -
if if if
you you you
are are be
anything anyth anything
like like like
a a a
devout devout devout
Christian christian Christian
this this this
post post post
is is be
> > >
> > >
really realli really
going go go
to to to
offend offend offend
and and and
/ / /
or or or
upset upset upset
you you you
. . .
> > >
> > >
[ [ [
. . .
. . .
. . .
numerous numer numerous
Ctrl ctrl Ctrl
- - -
Ls ls Ls
deleted delet delete
. . .
. . .
. . .
hehehe heheh hehehe
. . .
. . .
. . .
] ] ]
> > >
> > >
> > >
I i I
assume assum assume
everyone everyon everyone
here here here
is is be
familiar familiar familiar
with with with
the the the
Christian christian Christian
` ` `
fish fish fish
' ' '
symbol symbol symbol
. . .
> > >
> > >
The the The
one one one
on on on
the the the
back back back
of of of
all all all
those those those
Volvos volvo Volvos
. . .
> > >
> > >
The the The
one one one
that that that
looks look look
( ( (
something someth something
) ) )
like like like
> > >
> > >
_ _ _
_ _ _
> > >
> > >
/ / /
\ \ \
/ / /
> > >
> > >
\ \ \
_ _ _
_ _ _
/ / /
\ \ \
> > >
> > >
> > >
> > >
Or or Or
perhaps perhap perhaps
more more more
like like like
( ( (
) ) )
? ? ?
> > >
> > >
' ' '
` ` `
> > >
> > >
> > >
> > >
Well well Well
, , ,
I i I
found found find
out out out
this this this
morning morn morning
where where where
it it it
comes come come
from from from
. . .
. . .
. . .
> > >
> > >
> > >
> > >
It it It
' ' '
s s s
been been be
stolen stolen steal
from from from
the the the
pagans pagan pagan
, , ,
like like like
so so so
much much much
else els else
. . .
. . .
. . .
> > >
> > >
> > >
> > >
( ( (
Last last Last
last last last
chance chanc chance
to to to
be be be
blisfully blis blisfully
ignorant ignor ignorant
; ; ;
- - -
] ] ]
> > >
> > >
> > >
> > >
Hmm hmm Hmm
, , ,
how how how
can can can
I i I
put put put
it it it
. . .
> > >
> > >
> > >
> > >
Well well Well
, , ,
it it it
comes come come
from from from
, , ,
this this this
. . .
. . .
. . .
> > >
> > >
> > >
> > >
> > >
> > >
> > >
> > >
_ _ _
_ _ _
> > >
> > >
\ \ \
/ / /
> > >
> > >
( ( (
) ) )
> > >
> > >
` ` `
_ _ _
_ _ _
- - -
' ' '
` ` `
- - -
_ _ _
_ _ _
' ' '
> > >
> > >
> > >
> > >
> > >
> > >
> > >
> > >
Sigh sigh Sigh
, , ,
I i I
hate hate hate
drawing draw draw
with with with
ascii ascii ascii
chars char char
. . .
> > >
> > >
Still still Still
, , ,
I i I
think think think
you you you
can can can
work work work
it it it
out out out
from from from
there there there
. . .
. . .
. . .
> > >
> > >
If if If
you you you
haven haven haven
' ' '
t t t
, , ,
go go go
read read read
" " "
Skinny skinni Skinny
Legs leg Legs
and and and
All all All
" " "
by by by
Tom tom Tom
Robbins robbin Robbins
. . .
If if If
he he he
' ' '
s s s
even even even
> > >
50 50 50
% % %
accurate accur accurate
then then then
most most most
of of of
the the the
modern modern modern
religions religion religion
have have have
been been be
" " "
appropriated appropri appropriated
" " "
. . .
> > >
It it It
' ' '
s s s
also also also
a a a
great great great
book book book
. . .
> > >
> > >
Followups followup Followups
to to to
alt alt alt
. . .
atheism atheism atheism
, , ,
whose whose whose
readers reader reader
are are be
probably probabl probably
slightly slight slightly
more more more
authorative author authorative
> > >
on on on
this this this
. . .
> > >
> > >
- - -
k k k
> > >
- - -
- - -
> > >
Craig craig Craig
Harding hard Harding
kilroy kilroy kilroy
@ @ @
acme acm acme
. . .
gen gen gen
. . .
nz nz nz
ACME acm ACME
BBS bbs BBS
+ + +
64 64 64
6 6 6
3551342 3551342 3551342
> > >
" " "
Jub jub Jub
