Subject subject Subject
: : :
Re re Re
: : :
Feminism femin Feminism
and and and
Islam islam Islam
, , ,
again again again
From from From
: : :
kmagnacca kmagnacca kmagnacca
@ @ @
eagle eagl eagle
. . .
wesleyan wesleyan wesleyan
. . .
edu edu edu
Organization organ Organization
: : :
Wesleyan wesleyan Wesleyan
University univers University
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
wesleyan wesleyan wesleyan
. . .
edu edu edu
Lines line Lines
: : :
30 30 30
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
14 14 14
. . .
030334 030334 030334
. . .
8650 8650 8650
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
> > >
, , ,
snm snm snm
6394 6394 6394
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
( ( (
S s S
. . .
N n N
. . .
Mozumder mozumd Mozumder
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
11 11 11
. . .
145519 145519 145519
. . .
1 1 1
@ @ @
eagle eagl eagle
. . .
wesleyan wesleyan wesleyan
. . .
edu edu edu
> > >
kmagnacca kmagnacca kmagnacca
@ @ @
eagle eagl eagle
. . .
wesleyan wesleyan wesleyan
. . .
edu edu edu
writes write write
: : :
> > >
> > >
> > >
> > >
There there There
' ' '
s s s
a a a
way way way
around around around
that that that
via via via
the the the
hadith hadith hadith
, , ,
which which which
state state state
that that that
silence silenc silence
is is be
> > >
> > >
taken taken take
to to to
mean mean mean
" " "
yes yes yes
" " "
and and and
that that that
women women woman
may may may
not not not
speak speak speak
before befor before
a a a
judge judg judge
, , ,
who who who
> > >
> > >
must must must
conduct conduct conduct
the the the
marriage marriag marriage
. . .
> > >
> > >
Actaully actaulli Actaully
, , ,
that that that
' ' '
s s s
a a a
false fals false
hadith hadith hadith
, , ,
because becaus because
it it it
contradicts contradict contradict
verses vers verse
in in in
the the the
> > >
Quran quran Quran
, , ,
that that that
says say say
women women woman
may may may
testify testifi testify
- - -
speak speak speak
before befor before
a a a
judge judg judge
. . .
> > >
> > >
Hadiths hadith Hadiths
are are be
declared declar declare
false fals false
when when when
they they they
contradict contradict contradict
the the the
Quran quran Quran
. . .
Hadiths hadith Hadiths
> > >
weren weren weren
' ' '
t t t
written written write
during dure during
the the the
revelation revel revelation
or or or
during dure during
the the the
life life life
of of of
the the the
prophet prophet prophet
, , ,
> > >
and and and
so so so
may may may
contain contain contain
errors error error
. . .
So so So
the the the
only onli only
way way way
you you you
can can can
tell tell tell
a a a
false fals false
hadith hadith hadith
from from from
a a a
true true true
one one one
is is be
if if if
it it it
contradicts contradict contradict
the the the
Quran quran Quran
? ? ?
What what What
if if if
it it it
relates relat relate
to to to
something someth something
that that that
isn isn isn
' ' '
t t t
explicitly explicit explicitly
spelled spell spell
out out out
in in in
the the the
Quran quran Quran
? ? ?
Also also Also
, , ,
the the the
Quran quran Quran
wasn wasn wasn
' ' '
t t t
written written write
down down down
during dure during
the the the
life life life
of of of
Muhammed muham Muhammed
either either either
. . .
It it It
wasn wasn wasn
' ' '
t t t
long long long
after after after
, , ,
but but but
20 20 20
years year year
or or or
so so so
is is be
still still still
long long long
enough enough enough
to to to
shift shift shift
a a a
few few few
verses vers verse
around around around
. . .
Karl karl Karl
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
" " "
Lastly last Lastly
, , ,
I i I
come come come
to to to
China china China
in in in
the the the
hope hope hope
| | |
" " "
All all All
you you you
touch touch touch
and and and
all all all
you you you
see see see
| | |
| | |
of of of
fulfilling fulfil fulfil
a a a
lifelong lifelong lifelong
ambition ambit ambition
- - -
| | |
Is is Is
all all all
your your your
life life life
will will will
ever ever ever
be be be
. . .
" " "
| | |
| | |
dropping drop drop
acid acid acid
on on on
the the the
Great great Great
Wall wall Wall
. . .
" " "
- - -
- - -
Duke duke Duke
| | |
- - -
- - -
Pink pink Pink
Floyd floyd Floyd
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
A a A
Lie lie Lie
is is be
still still still
a a a
Lie lie Lie
even even even
if if if
3 3 3
. . .
8 8 8
billion billion billion
people peopl people
believe believ believe
it it it
. . .
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
