From from From
: : :
danj danj danj
@ @ @
welchgate welchgat welchgate
. . .
welch welch welch
. . .
jhu jhu jhu
. . .
edu edu edu
( ( (
Dan dan Dan
Jacobson jacobson Jacobson
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Is is Is
there there there
an an an
FTP ftp FTP
achive achiv achive
for for for
USGS usg USGS
terrain terrain terrain
data data data
Organization organ Organization
: : :
Johns john Johns
Hopkins hopkin Hopkins
Univ univ Univ
. . .
Welch welch Welch
Medical medic Medical
Library librari Library
Lines line Lines
: : :
123 123 123
diablo diablo diablo
. . .
UUCP uucp UUCP
! ! !
cboesel cboesel cboesel
( ( (
Charles charl Charles
Boesel boesel Boesel
) ) )
writes write write
: : :
> > >
Is is Is
there there there
an an an
FTP ftp FTP
archive archiv archive
for for for
United unit United
States state States
Geological geolog Geological
Services servic Services
( ( (
USGS usg USGS
) ) )
> > >
terrain terrain terrain
data data data
? ? ?
If if If
so so so
, , ,
where where where
? ? ?
Point point Point
your your your
gopher gopher gopher
client client client
at at at
merlot merlot merlot
. . .
welch welch welch
. . .
jhu jhu jhu
. . .
edu edu edu
and and and
select select select
the the the
following follow following
directories directori directory
: : :
- - -
- - -
> > >
13 13 13
. . .
Search search Search
and and and
Retrieve retriev Retrieve
Software softwar Software
/ / /
- - -
- - -
> > >
8 8 8
. . .
Search search Search
and and and
Retrieve retriev Retrieve
Graphics graphic Graphics
Software softwar Software
and and and
Data data Data
/ / /
And and And
you you you
' ' '
ll ll ll
see see see
- - -
- - -
- - -
> > >
1 1 1
. . .
Graphics graphic Graphics
Online onlin Online
Bibliography bibliographi Bibliography
( ( (
ACM acm ACM
SIGGRAPH siggraph SIGGRAPH
) ) )
/ / /
2 2 2
. . .
Graphics graphic Graphics
Software softwar Software
and and and
Data data Data
Archives archiv Archives
( ( (
ftp ftp ftp
sites site site
) ) )
/ / /
3 3 3
. . .
Search search Search
All all All
Graphics graphic Graphics
Information inform Information
< < <
? ? ?
> > >
4 4 4
. . .
Search search Search
Comp comp Comp
. . .
graphics graphic graphic
FAQ faq FAQ
< < <
? ? ?
> > >
5 5 5
. . .
Search search Search
Graphics graphic Graphics
Resources resourc Resources
( ( (
Software softwar Software
and and and
Data data Data
) ) )
< < <
? ? ?
> > >
6 6 6
. . .
Search search Search
Pictures pictur Pictures
Utilities util Utilities
FAQ faq FAQ
< < <
? ? ?
> > >
1 1 1
. . .
Graphics graphic Graphics
Online onlin Online
Bibliography bibliographi Bibliography
( ( (
ACM acm ACM
SIGGRAPH siggraph SIGGRAPH
) ) )
/ / /
Searches search Searches
and and and
archives archiv archive
of of of
bibliographic bibliograph bibliographic
database databas database
that that that
covers cover cover
graphics graphic graphic
literature literatur literature
for for for
over over over
a a a
hundred hundr hundred
years year year
( ( (
served serv serve
by by by
a a a
gopher gopher gopher
hole hole hole
in in in
Austria austria Austria
) ) )
. . .
2 2 2
. . .
Graphics graphic Graphics
Software softwar Software
and and and
Data data Data
Archives archiv Archives
( ( (
ftp ftp ftp
sites site site
) ) )
/ / /
Has has Has
links link link
to to to
over over over
70 70 70
sites site site
around around around
the the the
world world world
which which which
have have have
software softwar software
and and and
/ / /
or or or
data data data
for for for
computer comput computer
graphics graphic graphic
. . .
This this This
can can can
be be be
used use use
on on on
its it it
own own own
or or or
as as a
a a a
companion companion companion
to to to
the the the
searches search search
found found find
in in in
this this this
directory directori directory
which which which
will will will
point point point
you you you
toward toward toward
software softwar software
and and and
data data data
at at at
various various various
places place place
. . .
3 3 3
. . .
Search search Search
All all All
Graphics graphic Graphics
Information inform Information
< < <
? ? ?
> > >
4 4 4
. . .
Search search Search
Comp comp Comp
. . .
graphics graphic graphic
FAQ faq FAQ
< < <
? ? ?
> > >
5 5 5
. . .
Search search Search
Graphics graphic Graphics
Resources resourc Resources
( ( (
Software softwar Software
and and and
Data data Data
) ) )
< < <
? ? ?
> > >
6 6 6
. . .
Search search Search
Pictures pictur Pictures
Utilities util Utilities
FAQ faq FAQ
< < <
? ? ?
> > >
These these These
searches search search
contain contain contain
a a a
wealth wealth wealth
of of of
information inform information
about about about
computer comput computer
graphics graphic graphic
, , ,
data data data
, , ,
software softwar software
, , ,
techniques techniqu technique
etc etc etc
. . .
. . .
. . .
3 3 3
. . .
Search search Search
All all All
Graphics graphic Graphics
Information inform Information
< < <
? ? ?
> > >
Will will Will
simply simpli simply
search search search
all all all
of of of
the the the
information inform information
contained contain contain
in in in
searches search search
4 4 4
, , ,
5 5 5
, , ,
and and and
6 6 6
. . .
4 4 4
. . .
Search search Search
Comp comp Comp
. . .
graphics graphic graphic
FAQ faq FAQ
< < <
? ? ?
> > >
Lets let Lets
you you you
search search search
the the the
FAQ faq FAQ
( ( (
Frequently frequent Frequently
Asked ask Asked
Questions question Questions
) ) )
from from from
the the the
Comp comp Comp
. . .
graphics graphic graphic
newsgroup newsgroup newsgroup
compiled compil compile
by by by
John john John
Grieggs griegg Grieggs
at at at
the the the
JPL jpl JPL
. . .
5 5 5
. . .
Search search Search
Graphics graphic Graphics
Resources resourc Resources
( ( (
Software softwar Software
and and and
Data data Data
) ) )
< < <
? ? ?
> > >
Lets let Lets
you you you
search search search
the the the
Grpahics grpahic Grpahics
Resource resourc Resource
Listing list Listing
of of of
software softwar software
and and and
data data data
provided provid provide
by by by
Nick nick Nick
Fotis foti Fotis
at at at
the the the
National nation National
Technical technic Technical
Univ univ Univ
. . .
of of of
Athens athen Athens
. . .
6 6 6
. . .
Search search Search
Pictures pictur Pictures
Utilities util Utilities
FAQ faq FAQ
< < <
? ? ?
> > >
Lets let Lets
you you you
search search search
the the the
FAQ faq FAQ
( ( (
Frequently frequent Frequently
Asked ask Asked
Questions question Questions
) ) )
from from from
the the the
Alt alt Alt
. . .
binaries binari binary
. . .
pixutils pixutil pixutils
newsgroup newsgroup newsgroup
compiled compil compile
by by by
Jim jim Jim
