Subject subject Subject
: : :
Netware netwar Netware
Server server Server
286 286 286
A a A
and and and
SFT sft SFT
Netware netwar Netware
286 286 286
Level level Level
II ii II
V v V
2 2 2
. . .
0 0 0
a a a
serialisation serialis serialisation
From from From
: : :
system system system
@ @ @
codewks codewk codewks
. . .
nacjack nacjack nacjack
. . .
gen gen gen
. . .
nz nz nz
( ( (
Wayne wayn Wayne
McDougall mcdougal McDougall
) ) )
Organization organ Organization
: : :
The the The
Code code Code
Works work Works
Limited limit Limited
, , ,
PO po PO
Box box Box
10 10 10
155 155 155
, , ,
Auckland auckland Auckland
, , ,
New new New
Zealand zealand Zealand
Lines line Lines
: : :
60 60 60
Facts fact Facts
: : :
= = =
= = =
= = =
= = =
= = =
- - -
A a A
Netware netwar Netware
Server server Server
286 286 286
A a A
was was be
roughly rough roughly
moved move move
to to to
a a a
new new new
location locat location
and and and
left left leave
powered power power
down down down
for for for
three three three
months month month
. . .
- - -
From from From
memory memori memory
it it it
has has have
an an an
80 80 80
MB mb MB
hard hard hard
drive drive drive
. . .
- - -
Manuals manual Manuals
and and and
original origin original
disks disk disk
are are be
for for for
SFT sft SFT
Netware netwar Netware
286 286 286
Level level Level
II ii II
V v V
2 2 2
. . .
0 0 0
a a a
- - -
When when When
powered power power
up up up
, , ,
the the the
CMOS cmos CMOS
was was be
wiped wipe wipe
. . .
A a A
technician technician technician
examined examin examine
it it it
and and and
pronounced pronounc pronounce
the the the
disk disk disk
drive drive drive
unusable unus unusable
. . .
My my My
investigations investig investigation
indicate indic indicate
that that that
drive drive drive
C c C
is is be
a a a
type type type
27 27 27
( ( (
1024 1024 1024
cylinders cylind cylinder
, , ,
9 9 9
sides side side
) ) )
. . .
When when When
CMOS cmos CMOS
set set set
this this this
way way way
, , ,
COMPSURF compsurf COMPSURF
runs run run
happily happili happily
, , ,
with with with
13 13 13
bad bad bad
blocks block block
. . .
I i I
use use use
PREPARE prepar PREPARE
to to to
Hotfix hotfix Hotfix
the the the
one one one
internal intern internal
drive drive drive
. . .
Install instal Install
will will will
proceed proceed proceed
" " "
successfully success successfully
" " "
, , ,
but but but
when when when
I i I
try tri try
to to to
boot boot boot
the the the
server server server
, , ,
it it it
reports report report
that that that
the the the
software softwar software
is is be
not not not
serialised serialis serialise
for for for
this this this
hardware hardwar hardware
. . .
Internal intern Internal
examination examin examination
indicates indic indicate
that that that
the the the
keycard keycard keycard
is is be
present present present
, , ,
and and and
there there there
is is be
one one one
disk disk disk
drive drive drive
( ( (
or or or
at at at
least least least
one one one
large larg large
single singl single
unit unit unit
) ) )
. . .
Attempts attempt Attempts
to to to
configure configur configure
a a a
second second second
drive drive drive
in in in
CMOS cmos CMOS
result result result
in in in
drive drive drive
not not not
ready readi ready
errors error error
. . .
Questions question Questions
: : :
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
The the The
software softwar software
is is be
Netware netwar Netware
286 286 286
Level level Level
II ii II
and and and
I i I
can can can
see see see
burnt burnt burnt
on on on
to to to
the the the
screen screen screen
SFT sft SFT
Netware netwar Netware
286 286 286
Level level Level
II ii II
V v V
2 2 2
. . .
0 0 0
a a a
. . .
However howev However
, , ,
to to to
configure configur configure
netware netwar netware
for for for
level level level
II ii II
( ( (
mirrored mirror mirror
or or or
duplexed duplex duplexed
disks disk disk
) ) )
requires requir require
a a a
second second second
disk disk disk
, , ,
yes yes yes
? ? ?
So so So
how how how
is is be
the the the
Novell novel Novell
Server server Server
286 286 286
A a A
normally normal normally
configured configur configure
? ? ?
1 1 1
. . .
Can can Can
I i I
install instal install
SFT sft SFT
Netware netwar Netware
286 286 286
Level level Level
II ii II
V v V
2 2 2
. . .
0 0 0
a a a
as as a
Level level Level
I i I
, , ,
or or or
is is be
this this this
what what what
is is be
causing caus cause
my my my
serialisation serialis serialisation
error error error
? ? ?
2 2 2
. . .
Is is Is
the the the
Novell novel Novell
Server server Server
286 286 286
A a A
normally normal normally
equipped equip equip
with with with
two two two
hard hard hard
drives drive drive
, , ,
one one one
of of of
which which which
has has have
failed fail fail
? ? ?
3 3 3
. . .
Would would Would
this this this
mean mean mean
I i I
can can can
not not not
install instal install
the the the
network network network
software softwar software
because becaus because
it it it
will will will
not not not
be be be
serialised serialis serialise
for for for
this this this
hardware hardwar hardware
with with with
a a a
failed fail failed
drive drive drive
? ? ?
4 4 4
. . .
What what What
else els else
can can can
cause caus cause
a a a
serialisation serialis serialisation
error error error
? ? ?
5 5 5
. . .
What what What
happens happen happen
if if if
the the the
keycard keycard keycard
fails fail fail
? ? ?
6 6 6
. . .
Am am Am
I i I
doing do do
something someth something
wrong wrong wrong
? ? ?
Can can Can
someone someon someone
knowledgeable knowledg knowledgeable
offer offer offer
some some some
comments comment comment
and and and
guides guid guide
. . .
Thanks thank Thanks
for for for
your your your
time time time
. . .
Apology apolog Apology
: : :
= = =
= = =
= = =
= = =
= = =
= = =
= = =
I i I
appreciate appreci appreciate
that that that
I i I
have have have
posted post post
this this this
request request request
somewhat somewhat somewhat
widely wide widely
. . .
As as As
I i I
' ' '
m m m
dealing deal deal
with with with
somewhat somewhat somewhat
archaic archaic archaic
hardware hardwar hardware
and and and
software softwar software
I i I
' ' '
m m m
hoping hope hop
that that that
by by by
casting cast cast
my my my
net net net
further further far
, , ,
I i I
' ' '
m m m
more more more
likely like likely
to to to
capture captur capture
someone someon someone
who who who
has has have
met met meet
this this this
system system system
before befor before
. . .
I i I
believe believ believe
I i I
can can can
justify justifi justify
the the the
groups group group
to to to
which which which
I i I
am am be
posting post post
. . .
Please pleas Please
feel feel feel
free free free
to to to
correct correct correct
me me me
if if if
you you you
feel feel feel
this this this
is is be
an an an
inappropriate inappropri inappropriate
place place place
to to to
post post post
this this this
. . .
- - -
- - -
This this This
posting post posting
is is be
definitive definit definitive
. . .
bljeghbe bljeghb bljeghbe
' ' '
chugh chugh chugh
vaj vaj vaj
blHegh blhegh blHegh
. . .
Wayne wayn Wayne
McDougall mcdougal McDougall
: : :
: : :
Keeper keeper Keeper
of of of
the the the
list list list
of of of
shows show show
better better good
than than than
Star star Star
Trek trek Trek
( ( (
TM tm TM
) ) )
: : :
: : :
Ask ask Ask
me me me
about about about
the the the
Auckland auckland Auckland
Festival festiv Festival
of of of
Missions mission Missions
, , ,
18 18 18
- - -
25 25 25
April april April
, , ,
1993 1993 1993
I i I
always alway always
change chang change
my my my
mind mind mind
when when when
new new new
evidence evid evidence
is is be
available avail available
. . .
What what What
method method method
do do do
you you you
use use use
? ? ?
