From from From
: : :
els el el
390 390 390
r r r
@ @ @
fawlty fawlti fawlty
1 1 1
. . .
eng eng eng
. . .
monash monash monash
. . .
edu edu edu
. . .
au au au
( ( (
G g G
Chow chow Chow
) ) )
Subject subject Subject
: : :
Re re Re
: : :
ESDI esdi ESDI
with with with
IDE ide IDE
? ? ?
? ? ?
? ? ?
Organization organ Organization
: : :
Monash monash Monash
University univers University
Lines line Lines
: : :
27 27 27
In in In
article articl article
< < <
1 1 1
qegfd qegfd qegfd
$ $ $
dqi dqi dqi
@ @ @
wsinis wsini wsinis
03 03 03
. . .
info info info
. . .
win win win
. . .
tue tue tue
. . .
nl nl nl
> > >
monty monti monty
@ @ @
wsinis wsini wsinis
03 03 03
. . .
info info info
. . .
win win win
. . .
tue tue tue
. . .
nl nl nl
( ( (
Guido guido Guido
Leenders leender Leenders
) ) )
writes write write
: : :
> > >
Hi hi Hi
, , ,
> > >
> > >
Is is Is
it it it
possible possibl possible
to to to
use use use
an an an
ESDI esdi ESDI
- - -
controller control controller
with with with
HDD hdd HDD
together togeth together
with with with
an an an
> > >
IDE ide IDE
- - -
harddisk harddisk harddisk
+ + +
controller control controller
in in in
one one one
ISA isa ISA
- - -
system system system
? ? ?
> > >
> > >
I i I
' ' '
ve ve ve
read read read
stuff stuff stuff
about about about
secondary secondari secondary
controllers control controller
. . .
Does doe Does
this this this
trick trick trick
work work work
? ? ?
> > >
> > >
Thanx thanx Thanx
in in in
advance advanc advance
, , ,
> > >
> > >
Guido guido Guido
> > >
monty monti monty
@ @ @
win win win
. . .
tue tue tue
. . .
nl nl nl
I i I
have have have
the the the
same same same
question question question
as as a
Guido guido Guido
. . .
It it It
is is be
possible possibl possible
to to to
use use use
the the the
ESDI esdi ESDI
drive drive drive
as as a
a a a
master master master
and and and
the the the
IDE ide IDE
drive drive drive
as as a
the the the
slave slave slave
? ? ?
At at At
the the the
moment moment moment
, , ,
I i I
have have have
been been be
using use use
the the the
ESDI esdi ESDI
drive drive drive
and and and
recently recent recently
I i I
bought bought buy
a a a
IDE ide IDE
drive drive drive
to to to
use use use
as as a
the the the
2 2 2
nd nd nd
drive drive drive
. . .
The the The
person person person
in in in
the the the
computer comput computer
shop shop shop
told told tell
me me me
that that that
it it it
is is be
not not not
possible possibl possible
to to to
run run run
2 2 2
disk disk disk
controller control controller
cards card card
together togeth together
on on on
the the the
same same same
motherboard motherboard motherboard
( ( (
ESDI esdi ESDI
AND and AND
IDE ide IDE
) ) )
but but but
I i I
think think think
there there there
might might might
be be be
some some some
way way way
of of of
making make make
them them them
work work work
. . .
Can can Can
anybody anybodi anybody
enlighten enlighten enlighten
me me me
on on on
this this this
? ? ?
And and And
it it it
is is be
possible possibl possible
to to to
run run run
a a a
ESDI esdi ESDI
HDD hdd HDD
using use use
a a a
IDE ide IDE
controller control controller
? ? ?
or or or
vice vice vice
versa versa versa
? ? ?
Can can Can
anybody anybodi anybody
please pleas please
help help help
me me me
out out out
on on on
this this this
? ? ?
Your your Your
help help help
will will will
be be be
very veri very
much much much
appreciated appreci appreciate
. . .
G g G
. . .
Chow chow Chow
els el els
390 390 390
r r r
@ @ @
fawlty fawlti fawlty
1 1 1
. . .
eng eng eng
. . .
monash monash monash
. . .
edu edu edu
. . .
au au au
els el el
390 390 390
r r r
@ @ @
mdw mdw mdw
013 013 013
. . .
cc cc cc
. . .
monash monash monash
. . .
edu edu edu
. . .
au au au
gtchow gtchow gtchow
@ @ @
yoyo yoyo yoyo
. . .
cc cc cc
. . .
monash monash monash
. . .
edu edu edu
. . .
au au au
