Subject subject Subject
: : :
IDE ide IDE
Cable cabl Cable
From from From
: : :
vacsc vacsc vacsc
0 0 0
qe qe qe
@ @ @
VAX vax VAX
. . .
CSUN csun CSUN
. . .
EDU edu EDU
Reply repli Reply
- - -
To to To
: : :
vacsc vacsc vacsc
0 0 0
qe qe qe
@ @ @
VAX vax VAX
. . .
CSUN csun CSUN
. . .
EDU edu EDU
Organization organ Organization
: : :
Cal cal Cal
State state State
Northridge northridg Northridge
Lines line Lines
: : :
12 12 12
I i I
just just just
bought bought buy
a a a
new new new
IDE ide IDE
hard hard hard
drive drive drive
for for for
my my my
system system system
to to to
go go go
with with with
the the the
one one one
I i I
already alreadi already
had had have
. . .
My my My
problem problem problem
is is be
this this this
. . .
My my My
system system system
only onli only
had had have
a a a
IDE ide IDE
cable cabl cable
for for for
one one one
drive drive drive
, , ,
so so so
I i I
had had have
to to to
buy buy buy
cable cabl cable
with with with
two two two
drive drive drive
connectors connector connector
on on on
it it it
, , ,
and and and
consequently consequ consequently
have have have
to to to
switch switch switch
cables cabl cable
. . .
The the The
problem problem problem
is is be
, , ,
the the the
new new new
hard hard hard
drive drive drive
' ' '
s s s
manual manual manual
refers refer refers
to to to
matching match match
pin pin pin
1 1 1
on on on
the the the
cable cabl cable
with with with
both both both
pin pin pin
1 1 1
on on on
the the the
drive drive drive
itself itself itself
and and and
pin pin pin
1 1 1
on on on
the the the
IDE ide IDE
card card card
. . .
But but But
for for for
the the the
life life life
of of of
me me me
I i I
cannot cannot cannot
figure figur figure
out out out
how how how
to to to
tell tell tell
which which which
way way way
to to to
plug plug plug
in in in
the the the
cable cabl cable
to to to
align align align
these these these
. . .
Secondly second Secondly
, , ,
the the the
cable cabl cable
has has have
like like like
a a a
connector connector connector
at at at
two two two
ends end end
and and and
one one one
between between between
them them them
. . .
I i I
figure figur figure
one one one
end end end
goes goe go
in in in
the the the
controler control controler
and and and
then then then
the the the
other other other
two two two
go go go
into into into
the the the
drives drive drive
. . .
Does doe Does
it it it
matter matter matter
which which which
I i I
plug plug plug
into into into
the the the
" " "
master master master
" " "
drive drive drive
and and and
which which which
into into into
the the the
" " "
Slave slave Slave
" " "
? ? ?
any ani any
help help help
appreciated appreci appreciate
. . .
thanks thank thanks
. . .
. . .
. . .
