From from From
: : :
wally walli wally
@ @ @
Auspex auspex Auspex
. . .
COM com COM
( ( (
Wally walli Wally
Bass bass Bass
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Date date Date
is is be
stuck stuck stuck
Organization organ Organization
: : :
Auspex auspex Auspex
Systems system Systems
, , ,
Santa santa Santa
Clara clara Clara
Lines line Lines
: : :
35 35 35
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
alpha alpha alpha
1 1 1
- - -
e e e
5 5 5
. . .
auspex auspex auspex
. . .
com com com
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
19 19 19
. . .
055039 055039 055039
. . .
29715 29715 29715
@ @ @
oec oec oec
4 4 4
. . .
orbital orbit orbital
. . .
dialix dialix dialix
. . .
oz oz oz
. . .
au au au
> > >
oecjtb oecjtb oecjtb
@ @ @
oec oec oec
4 4 4
. . .
orbital orbit orbital
. . .
dialix dialix dialix
. . .
oz oz oz
. . .
au au au
( ( (
John john John
Bongiovanni bongiovanni Bongiovanni
) ) )
writes write write
: : :
[ [ [
stuff stuff stuff
deleted delet delete
] ] ]
> > >
Did did Did
I i I
once onc once
hear hear hear
that that that
in in in
order order order
for for for
the the the
date date date
to to to
advance advanc advance
, , ,
something someth something
, , ,
like like like
a a a
> > >
clock clock clock
, , ,
* * *
has has have
* * *
to to to
make make make
a a a
Get get Get
Date date Date
system system system
call call call
? ? ?
Apparently appar Apparently
, , ,
the the the
clock clock clock
> > >
hardware hardwar hardware
interrupt interrupt interrupt
and and and
BIOS bio BIOS
don don don
' ' '
t t t
do do do
this this this
( ( (
date date date
advance advanc advance
) ) )
automatically automat automatically
. . .
The the The
> > >
Get get Get
Date date Date
call call call
notices notic notice
that that that
a a a
" " "
midnight midnight midnight
reset reset reset
" " "
flag flag flag
has has have
been been be
set set set
, , ,
and and and
then then then
> > >
then then then
advances advanc advance
the the the
date date date
. . .
> > >
> > >
Anybody anybodi Anybody
with with with
more more more
info info info
? ? ?
There there There
are are be
two two two
' ' '
problems problem problem
' ' '
: : :
( ( (
1 1 1
) ) )
the the the
BIOS bio BIOS
TOD tod TOD
routine routin routine
which which which
updates updat update
the the the
BIOS bio BIOS
clock clock clock
uses use use
only onli only
1 1 1
bit bit bit
for for for
day day day
increment increment increment
, , ,
so so so
a a a
second second second
wrapping wrap wrapping
of of of
the the the
clock clock clock
past past past
midnight midnight midnight
will will will
get get get
lost lost lose
if if if
no no no
one one one
calls call call
the the the
BIOS bio BIOS
to to to
read read read
the the the
clock clock clock
in in in
the the the
meantime meantim meantime
, , ,
and and and
( ( (
2 2 2
) ) )
the the the
BIOS bio BIOS
resets reset reset
the the the
day day day
wrap wrap wrap
indicator indic indicator
on on on
the the the
first first first
' ' '
get get get
date date date
' ' '
call call call
from from from
ANYBODY anybodi ANYBODY
( ( (
after after after
the the the
wrap wrap wrap
indicator indic indicator
has has have
been been be
set set set
) ) )
. . .
So so So
unless unless unless
the the the
first first first
BIOS bio BIOS
' ' '
get get get
date date date
' ' '
call call call
after after after
midnight midnight midnight
is is be
done done do
by by by
the the the
DOS dos DOS
' ' '
kernel kernel kernel
' ' '
( ( (
which which which
is is be
the the the
only onli only
part part part
of of of
DOS dos DOS
which which which
knows know know
how how how
to to to
increment increment increment
the the the
date date date
, , ,
the the the
day day day
wrap wrap wrap
indication indic indication
is is be
normally normal normally
lost lost lose
. . .
My my My
guess guess guess
is is be
that that that
Kevin kevin Kevin
' ' '
s s s
' ' '
menu menu menu
' ' '
system system system
uses use use
BIOS bio BIOS
calls call call
to to to
read read read
the the the
clock clock clock
( ( (
in in in
order order order
to to to
display display display
the the the
time time time
) ) )
, , ,
and and and
is is be
hence henc hence
the the the
entity entiti entity
which which which
causes caus cause
the the the
day day day
wrap wrap wrap
indication indic indication
to to to
get get get
lost lost lose
. . .
Even even Even
if if if
the the the
' ' '
menu menu menu
' ' '
system system system
' ' '
notices notic notice
' ' '
the the the
day day day
' ' '
wrap wrap wrap
' ' '
( ( (
which which which
I i I
think think think
is is be
indicated indic indicate
by by by
a a a
non non non
- - -
zero zero zero
value valu value
in in in
AL al AL
) ) )
, , ,
there there there
really realli really
isn isn isn
' ' '
t t t
any ani any
particularly particular particularly
good good good
way way way
to to to
tell tell tell
DOS dos DOS
about about about
it it it
, , ,
so so so
that that that
DOS dos DOS
can can can
update updat update
the the the
day day day
. . .
The the The
menu menu menu
system system system
' ' '
should should should
' ' '
use use use
DOS dos DOS
calls call call
to to to
get get get
the the the
time time time
, , ,
which which which
would would would
cause caus cause
the the the
DOS dos DOS
' ' '
kernel kernel kernel
' ' '
to to to
do do do
the the the
BIOS bio BIOS
call call call
, , ,
and and and
the the the
wrap wrap wrap
indicator indic indicator
would would would
hence henc hence
be be be
processed process process
properly proper properly
. . .
Possibly possibl Possibly
, , ,
though though though
, , ,
the the the
' ' '
menu menu menu
' ' '
system system system
can can can
' ' '
t t t
easily easili easily
use use use
DOS dos DOS
calls call call
for for for
time time time
, , ,
because becaus because
DOS dos DOS
is is be
not not not
reentrant reentrant reentrant
, , ,
and and and
perhaps perhap perhaps
time time time
incrementing increment incrementing
ofters ofter ofters
occur occur occur
while while while
the the the
' ' '
menu menu menu
' ' '
system system system
is is be
' ' '
inside insid inside
' ' '
some some some
other other other
DOS dos DOS
call call call
. . .
Wally walli Wally
Bass bass Bass
