From from From
: : :
michael michael michael
@ @ @
jester jester jester
. . .
GUN gun GUN
. . .
de de de
( ( (
Michael michael Michael
Gerhards gerhard Gerhards
) ) )
Distribution distribut Distribution
: : :
world world world
Subject subject Subject
: : :
Re re Re
: : :
com com com
ports port port
/ / /
modem modem modem
/ / /
mouse mous mouse
conflict conflict conflict
- - -
REALLY realli REALLY
? ? ?
X x X
- - -
Newsreader newsread Newsreader
: : :
TIN tin TIN
[ [ [
version version version
1 1 1
. . .
1 1 1
PL pl PL
8 8 8
] ] ]
Organization organ Organization
: : :
private privat private
COHERENT coher COHERENT
system system system
Lines line Lines
: : :
20 20 20
Phil phil Phil
Hunt hunt Hunt
( ( (
phil phil phil
@ @ @
howtek howtek howtek
. . .
MV mv MV
. . .
COM com COM
) ) )
wrote wrote write
: : :
> > >
I i I
' ' '
m m m
kind kind kind
of of of
new new new
at at at
the the the
pc pc pc
stuff stuff stuff
. . .
My my My
machine machin machine
has has have
4 4 4
serial serial serial
ports port port
. . .
Com com Com
1 1 1
and and and
3 3 3
> > >
and and and
2 2 2
& & &
4 4 4
share share share
same same same
IRQs irq IRQs
. . .
You you You
mean mean mean
I i I
can can can
' ' '
t t t
plug plug plug
a a a
mouse mous mouse
into into into
Com com Com
1 1 1
and and and
a a a
modem modem modem
> > >
into into into
com com com
3 3 3
and and and
expect expect expect
both both both
to to to
work work work
? ? ?
No no No
, , ,
but but but
some some some
OS os OS
' ' '
s s s
( ( (
COHERENT coher COHERENT
, , ,
etc etc etc
) ) )
are are be
able abl able
to to to
drive drive drive
one one one
of of of
the the the
ports port port
in in in
polled poll polled
mode mode mode
without without without
using use use
the the the
IRQ irq IRQ
. . .
In in In
your your your
example exampl example
, , ,
after after after
accessing access access
the the the
modem modem modem
, , ,
the the the
mouse mous mouse
won won win
' ' '
t t t
work work work
until until until
you you you
reboot reboot reboot
, , ,
because becaus because
the the the
IRQ irq IRQ
is is be
used use use
by by by
the the the
modem modem modem
. . .
> > >
If if If
Answer answer Answer
is is be
NO no NO
, , ,
should should should
I i I
change chang change
IRQ irq IRQ
' ' '
s s s
for for for
com com com
ports port port
to to to
be be be
different differ different
? ? ?
And and And
, , ,
> > >
does doe do
it it it
really realli really
matter matter matter
which which which
IRQ irq IRQ
I i I
set set set
the the the
ports port port
too too too
? ? ?
Yes yes Yes
, , ,
you you you
can can can
change chang change
the the the
IRQ irq IRQ
' ' '
s s s
for for for
com com com
3 3 3
/ / /
4 4 4
, , ,
but but but
it it it
depends depend depend
on on on
your your your
other other other
hardware hardwar hardware
. . .
com com com
1 1 1
uses use us
IRQ irq IRQ
4 4 4
, , ,
com com com
2 2 2
IRQ irq IRQ
3 3 3
. . .
If if If
you you you
have have have
only onli only
one one one
printerport printerport printerport
( ( (
IRQ irq IRQ
7 7 7
) ) )
, , ,
you you you
can can can
change chang change
com com com
3 3 3
to to to
IRQ irq IRQ
5 5 5
( ( (
normally normal normally
2 2 2
nd nd nd
printer printer printer
) ) )
. . .
For for For
com com com
4 4 4
, , ,
you you you
can can can
assign assign assign
IRQ irq IRQ
2 2 2
, , ,
if if if
its it it
free free free
. . .
As as As
far far far
as as a
I i I
know know know
, , ,
no no no
other other other
IRQ irq IRQ
can can can
be be be
used use use
until until until
your your your
I i I
/ / /
O o O
- - -
card card card
is is be
16 16 16
bit bit bit
and and and
caould caould caould
access access access
IRQ irq IRQ
' ' '
s s s
> > >
8 8 8
. . .
Michael michael Michael
- - -
- - -
* * *
michael michael michael
@ @ @
jester jester jester
. . .
gun gun gun
. . .
de de de
* * *
Michael michael Michael
Gerhards gerhard Gerhards
* * *
Preussenstrasse preussenstrass Preussenstrasse
59 59 59
* * *
* * *
Germany germani Germany
4040 4040 4040
Neuss neuss Neuss
* * *
Voice voic Voice
: : :
49 49 49
2131 2131 2131
82238 82238 82238
* * *
