From from From
: : :
dp dp dp
@ @ @
cec cec cec
1 1 1
. . .
wustl wustl wustl
. . .
edu edu edu
( ( (
David david David
Prutchi prutchi Prutchi
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Long long Long
distance distanc distance
IR ir IR
detection detect detection
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
cec cec cec
1 1 1
Organization organ Organization
: : :
Washington washington Washington
University univers University
, , ,
St st St
. . .
Louis loui Louis
MO mo MO
Lines line Lines
: : :
88 88 88
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
20 20 20
. . .
183416 183416 183416
. . .
18744 18744 18744
@ @ @
dres dres dres
. . .
dnd dnd dnd
. . .
ca ca ca
> > >
sburton sburton sburton
@ @ @
dres dres dres
. . .
dnd dnd dnd
. . .
ca ca ca
( ( (
Stan stan Stan
Burton burton Burton
) ) )
writes write write
: : :
> > >
> > >
- - -
- - -
> > >
> > >
I i I
would would would
like like like
to to to
be be be
able abl able
to to to
detect detect detect
the the the
angular angular angular
position posit position
( ( (
low low low
accuracy accuraci accuracy
) ) )
of of of
an an an
> > >
IR ir IR
emitting emit emit
source sourc source
at at at
a a a
distance distanc distance
of of of
about about about
100 100 100
meters meter meter
( ( (
more more more
is is be
better better well
) ) )
in in in
> > >
daylight daylight daylight
. . .
The the The
IR ir IR
source sourc source
could could could
be be be
emitting emit emit
a a a
signature signatur signature
; ; ;
I i I
' ' '
m m m
leaning lean lean
toward toward toward
> > >
30 30 30
KHz khz KHz
square squar square
wave wave wave
with with with
50 50 50
% % %
duty duti duty
cycle cycl cycle
. . .
> > >
> > >
I i I
am am be
considering consid consider
the the the
use use use
of of of
a a a
quadrant quadrant quadrant
detector detector detector
from from from
Centronic centron Centronic
Inc inc Inc
. . .
to to to
give give give
> > >
information inform information
to to to
a a a
pan pan pan
/ / /
tilt tilt tilt
head head head
to to to
point point point
the the the
sensor sensor sensor
and and and
thus thus thus
determine determin determine
the the the
> > >
angles angl angle
. . .
For for For
the the the
source sourc source
I i I
am am be
considering consid consider
wazing waze wazing
the the the
heck heck heck
out out out
of of of
an an an
IR ir IR
LED led LED
