From from From
: : :
engp engp engp
2254 2254 2254
@ @ @
nusunix nusunix nusunix
1 1 1
. . .
nus nus nu
. . .
sg sg sg
( ( (
SOH soh SOH
KAM kam KAM
YUNG yung YUNG
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Protection protect Protection
of of of
serial serial serial
( ( (
RS rs RS
232 232 232
) ) )
lines line line
Organization organ Organization
: : :
National nation National
University univers University
of of of
Singapore singapor Singapore
X x X
- - -
Newsreader newsread Newsreader
: : :
TIN tin TIN
[ [ [
version version version
1 1 1
. . .
1 1 1
PL pl PL
6 6 6
] ] ]
Lines line Lines
: : :
39 39 39
Martin martin Martin
John john John
Gregory gregori Gregory
( ( (
mgregory mgregori mgregory
@ @ @
flash flash flash
. . .
pax pax pax
. . .
tpa tpa tpa
. . .
com com com
. . .
au au au
) ) )
wrote wrote write
: : :
: : :
I i I
' ' '
ve ve ve
started start start
to to to
look look look
at at at
some some some
devices devic device
doing do do
serial serial serial
data data data
transmission transmiss transmission
: : :
over over over
fairly fair fairly
decent decent decent
distances distanc distance
in in in
fairly fair fairly
noisy noisi noisy
environments environ environment
, , ,
and and and
have have have
: : :
seen seen see
a a a
variety varieti variety
of of of
schemes scheme scheme
for for for
protecting protect protect
the the the
RS rs RS
232 232 232
transceivers transceiv transceivers
( ( (
and and and
: : :
the the the
rest rest rest
of of of
the the the
circuit circuit circuit
) ) )
from from from
transients transient transient
on on on
the the the
serial serial serial
lines line line
. . .
I i I
' ' '
m m m
: : :
left left leave
wondering wonder wonder
what what what
is is be
the the the
best best best
way way way
of of of
doing do do
this this this
? ? ?
How how How
necessary necessari necessary
is is be
: : :
it it it
? ? ?
: : :
[ [ [
stuff stuff stuff
deleted delet delete
] ] ]
: : :
What what What
is is be
the the the
wisdom wisdom wisdom
on on on
this this this
out out out
there there there
? ? ?
: : :
: : :
Ta ta Ta
, , ,
: : :
: : :
Martin martin Martin
. . .
: : :
: : :
From from From
what what what
I i I
know know know
, , ,
protection protect protection
is is be
necessary necessari necessary
, , ,
esp esp esp
. . .
if if if
you you you
plan plan plan
to to to
route rout route
the the the
cables cabl cable
into into into
an an an
unknown unknown unknown
environment environ environment
( ( (
out out out
of of of
your your your
control control control
) ) )
. . .
Things thing Things
like like like
accidental accident accidental
shorts short short
between between between
the the the
signal signal signal
lines line line
and and and
power power power
cables cabl cable
, , ,
or or or
even even even
lightning lightn lightning
strikes strike strike
are are be
very veri very
likely like likely
and and and
I i I
don don don
' ' '
t t t
think think think
you you you
like like like
to to to
see see see
the the the
sight sight sight
of of of
your your your
computer comput computer
going go go
up up up
in in in
smoke smoke smoke
! ! !
[ [ [
Even even Even
ethernet ethernet ethernet
cards card card
are are be
protected protect protect
. . .
I i I
' ' '
ve ve ve
looked look look
at at at
the the the
one one one
in in in
my my my
PC pc PC
and and and
the the the
connector connector connector
is is be
protected protect protect
by by by
a a a
gas gas gas
discharge discharg discharge
tube tube tube
! ! !
] ] ]
{ { {
But but But
if if if
you you you
plan plan plan
to to to
use use use
the the the
serial serial serial
cables cabl cable
for for for
internal intern internal
routings rout routings
( ( (
i i i
. . .
e e e
. . .
in in in
controlled control controlled
environments environ environment
) ) )
, , ,
it it it
should should should
be be be
reasonably reason reasonably
safe safe safe
not not not
to to to
have have have
them them them
. . .
} } }
Suggestion suggest Suggestion
: : :
look look look
in in in
the the the
RS rs RS
data data data
book book book
. . .
They they They
have have have
several sever several
RS rs RS
232 232 232
transceivers transceiv transceivers
that that that
have have have
overvoltage overvoltag overvoltage
protection protect protection
. . .
Among among Among
them them them
include includ include
the the the
LT lt LT
1080 1080 1080
, , ,
LT lt LT
1081 1081 1081
and and and
MAX max MAX
250 250 250
and and and
MAX max MAX
251 251 251
. . .
The the The
Maxims maxim Maxims
are are be
suppose suppos suppose
to to to
be be be
electrically electr electrically
isolated isol isolated
ones one one
but but but
still still still
need need need
opto opto opto
- - -
isolators isol isolators
to to to
work work work
( ( (
don don don
' ' '
t t t
ask ask ask
me me me
why whi why
. . .
I i I
' ' '
ve ve ve
never never never
used use use
them them them
before befor before
. . .
Another anoth Another
alternative altern alternative
is is be
an an an
RS rs RS
232 232 232
surge surg surge
protector protector protector
. . .
Two two Two
are are be
listed list list
in in in
the the the
RS rs RS
catalogue catalogu catalogue
. . .
If if If
you you you
need need need
additional addit additional
info info info
( ( (
i i i
. . .
e e e
. . .
stock stock stock
nos nos nos
. . .
) ) )
, , ,
just just just
e e e
- - -
mail mail mail
me me me
. . .
Soh soh Soh
Kam kam Kam
Yung yung Yung
, , ,
engp engp engp
2254 2254 2254
@ @ @
nusunix nusunix nusunix
1 1 1
. . .
nus nus nu
. . .
sg sg sg
