From from From
: : :
zappala zappala zappala
@ @ @
pollux pollux pollux
. . .
usc usc usc
. . .
edu edu edu
( ( (
Daniel daniel Daniel
Zappala zappala Zappala
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Darrrrrrrrryl darrrrrrrrryl Darrrrrrrrryl
Organization organ Organization
: : :
University univers University
of of of
Southern southern Southern
California california California
, , ,
Los los Los
Angeles angel Angeles
, , ,
CA ca CA
Lines line Lines
: : :
31 31 31
Distribution distribut Distribution
: : :
world world world
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
pollux pollux pollux
. . .
usc usc usc
. . .
edu edu edu
Mark mark Mark
Singer singer Singer
brings bring bring
up up up
the the the
Strawberry strawberri Strawberry
Incident incid Incident
, , ,
where where where
he he he
lost lost lose
a a a
homerun homerun homerun
and and and
the the the
fan fan fan
caught caught catch
it it it
. . .
| | |
> > >
Before befor Before
each each each
Dodger dodger Dodger
game game game
the the the
public public public
address address address
announcer announc announcer
makes make make
a a a
speech speech speech
| | |
> > >
wherein wherein wherein
he he he
says say say
that that that
fans fan fan
are are be
welcome welcom welcome
to to to
the the the
souvenirs souvenir souvenir
of of of
balls ball ball
that that that
| | |
> > >
are are be
hit hit hit
into into into
the the the
stands stand stand
as as as
long long long
as as a
they they they
do do do
not not not
interfere interfer interfere
with with with
any ani any
| | |
> > >
that that that
are are be
in in in
the the the
field field field
of of of
play play play
. . .
Was was Was
the the the
fan fan fan
wrong wrong wrong
? ? ?
Should should Should
he he he
have have have
| | |
> > >
been been be
more more more
aware awar aware
of of of
the the the
situation situat situation
and and and
acted act act
to to to
avoid avoid avoid
any ani any
possibility possibl possibility
| | |
> > >
of of of
interference interfer interference
? ? ?
Yes yes Yes
, , ,
I i I
think think think
he he he
should should should
have have have
done done do
more more more
to to to
get get get
out out out
of of of
the the the
way way way
. . .
As as As
much much much
as as a
fans fan fan
want want want
to to to
catch catch catch
a a a
ball ball ball
, , ,
they they they
really realli really
should should should
be be be
aware awar aware
that that that
winning win win
the the the
game game game
is is be
more more more
important import important
. . .
As as As
a a a
Dodger dodger Dodger
fan fan fan
, , ,
he he he
has has have
to to to
be be be
aware awar aware
that that that
this this this
is is be
the the the
home home home
stadium stadium stadium
, , ,
and and and
that that that
entails entail entail
helping help help
the the the
home home home
team team team
win win win
in in in
any ani any
way way way
possible possibl possible
. . .
As as As
soon soon soon
as as a
the the the
ball ball ball
was was be
hit hit hit
that that that
far far far
, , ,
his his his
first first first
instinct instinct instinct
should should should
be be be
to to to
root root root
for for for
Darryl darryl Darryl
to to to
catch catch catch
it it it
, , ,
not not not
to to to
try tri try
to to to
catch catch catch
it it it
himself himself himself
, , ,
particularly particular particularly
when when when
he he he
is is be
sitting sit sit
that that that
close close close
. . .
I i I
enjoy enjoy enjoy
the the the
attitude attitud attitude
of of of
the the the
Wrigley wrigley Wrigley
fans fan fan
, , ,
where where where
they they they
are are be
against against against
visiting visit visit
team team team
home home home
runs run run
so so so
much much much
, , ,
they they they
actually actual actually
throw throw throw
them them them
back back back
on on on
the the the
field field field
. . .
Now now Now
, , ,
this this this
has has have
nothing noth nothing
to to to
do do do
with with with
whether whether whether
Darryl darryl Darryl
could could could
have have have
caught caught catch
it it it
or or or
not not not
. . .
Sure sure Sure
, , ,
he he he
probably probabl probably
screwed screw screw
up up up
, , ,
but but but
the the the
fan fan fan
should should should
realize realiz realize
his his his
first first first
responsibility respons responsibility
is is be
to to to
get get get
out out out
of of of
the the the
way way way
and and and
help help help
the the the
team team team
win win win
. . .
Daniel daniel Daniel
daniel daniel daniel
@ @ @
caldera caldera caldera
. . .
usc usc usc
. . .
edu edu edu
