From from From
: : :
spira spira spira
@ @ @
panix panix panix
. . .
com com com
( ( (
Greg greg Greg
" " "
Sarcasm sarcasm Sarcasm
Is is Is
A a A
Way way Way
Of of Of
Life life Life
" " "
Spira spira Spira
) ) )
Subject subject Subject
: : :
Re re Re
: : :
And and And
America america America
' ' '
s s s
Team team Team
is is be
. . .
. . .
. . .
. . .
But but But
Why whi Why
? ? ?
Organization organ Organization
: : :
Boo boo Boo
! ! !
Lines line Lines
: : :
36 36 36
In in In
< < <
1 1 1
qsk qsk qsk
9 9 9
d d d
$ $ $
dck dck dck
@ @ @
usenet usenet usenet
. . .
INS in INS
. . .
CWRU cwru CWRU
. . .
Edu edu Edu
> > >
jdl jdl jdl
6 6 6
@ @ @
po po po
. . .
CWRU cwru CWRU
. . .
Edu edu Edu
( ( (
Justin justin Justin
D d D
. . .
Lowe low Lowe
) ) )
writes write write
: : :
> > >
In in In
a a a
previous previous previous
article articl article
, , ,
steinman steinman steinman
@ @ @
me me me
. . .
utoronto utoronto utoronto
. . .
ca ca ca
( ( (
David david David
Steinman steinman Steinman
) ) )
says say say
: : :
> > >
> > >
cka cka cka
52397 52397 52397
@ @ @
uxa uxa uxa
. . .
cso cso cso
. . .
uiuc uiuc uiuc
. . .
edu edu edu
( ( (
OrioleFan oriolefan OrioleFan
@ @ @
uiuc uiuc uiuc
) ) )
writes write write
: : :
> > >
> > >
> > >
> > >
> > >
The the The
defenition defenit defenition
of of of
the the the
Underdog underdog Underdog
is is be
a a a
team team team
that that that
has has have
no no no
talent talent talent
and and and
comes come come
> > >
> > >
> > >
out out out
of of of
nowhere nowher nowhere
to to to
contend contend contend
. . .
The the The
' ' '
69 69 69
Mets met Mets
and and and
' ' '
89 89 89
Orioles oriol Orioles
are are be
prime prime prime
examples exampl example
, , ,
> > >
> > >
> > >
not not not
the the the
Cubs cub Cubs
. . .
> > >
> > >
> > >
> > >
Sorry sorri Sorry
, , ,
but but but
it it it
is is be
* * *
virtually virtual virtually
* * *
impossible imposs impossible
to to to
win win win
a a a
division divis division
with with with
" " "
no no no
talent talent talent
" " "
> > >
> > >
over over over
162 162 162
games game game
. . .
> > >
> > >
> > >
> > >
I i I
would would would
amend amend amend
your your your
definition definit definition
to to to
: : :
> > >
> > >
> > >
> > >
underdog underdog underdog
: : :
a a a
team team team
expected expect expect
to to to
lose lose lose
, , ,
but but but
which which which
wins win win
thanks thank thanks
to to to
underestimated underestim underestimated
> > >
> > >
talent talent talent
. . .
> > >
> > >
- - -
- - -
> > >
> > >
Dave dave Dave
! ! !
> > >
> > >
> > >
OK ok OK
, , ,
the the the
Mets met Mets
and and and
O o O
' ' '
s s s
are are be
good good good
examples exampl example
, , ,
but but but
what what what
about about about
the the the
' ' '
90 90 90
Reds red Reds
? ? ?
Do do Do
you you you
> > >
really realli really
think think think
that that that
anyone anyon anyone
expected expect expect
them them them
to to to
sweep sweep sweep
the the the
A a A
' ' '
s s s
? ? ?
I i I
know know know
people peopl people
who who who
> > >
didn didn didn
' ' '
t t t
even even even
think think think
they they they
' ' '
d d d
win win win
a a a
game game game
, , ,
let let let
alone alon alone
win win win
the the the
Series seri Series
. . .
These these These
people peopl people
were were be
very veri very
silly silli silly
. . .
Any ani Any
team team team
that that that
gets get get
to to to
the the the
World world World
Series seri Series
can can can
win win win
the the the
World world World
Series seri Series
, , ,
and and and
anybody anybodi anybody
who who who
ever ever ever
expects expect expect
a a a
sweep sweep sweep
is is be
crazy crazi crazy
. . .
If if If
you you you
put put put
the the the
best best best
team team team
in in in
baseball basebal baseball
in in in
the the the
Series seri Series
against against against
the the the
worst worst bad
team team team
in in in
baseball basebal baseball
, , ,
the the the
worst worst bad
team team team
would would would
win win win
at at at
least least least
a a a
game game game
most most most
of of of
the the the
time time time
and and and
very veri very
well well well
could could could
win win win
the the the
Series seri Series
, , ,
though though though
the the the
odds odd odds
would would would
certainly certain certainly
be be be
against against against
them them them
. . .
Greg greg Greg
