Organization organ Organization
: : :
University univers University
of of of
Notre notr Notre
Dame dame Dame
- - -
Office offic Office
of of of
Univ univ Univ
. . .
Computing comput Computing
From from From
: : :
< < <
RVESTERM rvesterm RVESTERM
@ @ @
vma vma vma
. . .
cc cc cc
. . .
nd nd nd
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
NL nl NL
vs vs v
. . .
AL al AL
? ? ?
< < <
93102 93102 93102
. . .
164224 164224 164224
RVESTERM rvesterm RVESTERM
@ @ @
vma vma vma
. . .
cc cc cc
. . .
nd nd nd
. . .
edu edu edu
> > >
< < <
1993 1993 1993
Apr apr Apr
13 13 13
. . .
184311 184311 184311
. . .
16351 16351 16351
@ @ @
news news news
. . .
yale yale yale
. . .
edu edu edu
> > >
Lines line Lines
: : :
23 23 23
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
13 13 13
. . .
184311 184311 184311
. . .
16351 16351 16351
@ @ @
news news news
. . .
yale yale yale
. . .
edu edu edu
> > >
, , ,
( ( (
Sean sean Sean
Garrison garrison Garrison
) ) )
says say say
: : :
> > >
> > >
In in In
article articl article
< < <
93102 93102 93102
. . .
164224 164224 164224
RVESTERM rvesterm RVESTERM
@ @ @
vma vma vma
. . .
cc cc cc
. . .
nd nd nd
. . .
edu edu edu
> > >
, , ,
RVESTERM rvesterm RVESTERM
@ @ @
vma vma vma
. . .
cc cc cc
. . .
nd nd nd
. . .
edu edu edu
> > >
wrote wrote write
: : :
> > >
> > >
> > >
pitchers pitcher pitcher
who who who
are are be
doing do do
well well well
are are be
> > >
> > >
more more more
likely like likely
to to to
be be be
taken taken take
out out out
of of of
the the the
game game game
in in in
the the the
nl nl nl
than than than
they they they
are are be
in in in
the the the
al al al
, , ,
> > >
> > >
so so so
it it it
seems seem seem
to to to
me me me
that that that
the the the
al al al
, , ,
not not not
the the the
nl nl nl
, , ,
promotes promot promote
pitchers pitcher pitcher
' ' '
duels duel duel
. . .
> > >
> > >
> > >
> > >
bob bob bob
vesterman vesterman vesterman
. . .
> > >
> > >
> > >
On on On
what what what
basis basi basis
do do do
you you you
make make make
this this this
statement statement statement
? ? ?
> > >
> > >
Q q Q
Sean sean Sean
are are be
you you you
serious serious serious
? ? ?
pitchers pitcher pitcher
are are be
pinch pinch pinch
- - -
hit hit hit
for for for
in in in
the the the
nl nl nl
. . .
they they they
are are be
not not not
in in in
the the the
nl nl nl
. . .
if if if
a a a
pitcher pitcher pitcher
is is be
cranking crank crank
in in in
the the the
al al al
, , ,
he he he
will will will
stay stay stay
in in in
the the the
game game game
. . .
if if if
he he he
is is be
cranking crank crank
in in in
the the the
nl nl nl
, , ,
he he he
may may may
not not not
- - -
ESPECIALLY especi ESPECIALLY
if if if
it it it
' ' '
s s s
a a a
pitchers pitcher pitcher
' ' '
duel duel duel
, , ,
and and and
his his his
team team team
needs need need
an an an
extra extra extra
run run run
. . .
bob bob bob
vesterman vesterman vesterman
. . .
