Organization organ Organization
: : :
University univers University
of of of
Notre notr Notre
Dame dame Dame
- - -
Office offic Office
of of of
Univ univ Univ
. . .
Computing comput Computing
From from From
: : :
< < <
RVESTERM rvesterm RVESTERM
@ @ @
vma vma vma
. . .
cc cc cc
. . .
nd nd nd
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
Jewish jewish Jewish
Baseball basebal Baseball
Players player Players
? ? ?
< < <
1993 1993 1993
Apr apr Apr
16 16 16
. . .
173252 173252 173252
. . .
7393 7393 7393
@ @ @
asd asd asd
. . .
com com com
> > >
Lines line Lines
: : :
11 11 11
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
16 16 16
. . .
173252 173252 173252
. . .
7393 7393 7393
@ @ @
asd asd asd
. . .
com com com
> > >
, , ,
scott scott scott
@ @ @
asd asd asd
. . .
com com com
( ( (
Scott scott Scott
Barman barman Barman
) ) )
says say say
: : :
> > >
> > >
Wasn wasn Wasn
' ' '
t t t
Ron ron Ron
Bloomberg bloomberg Bloomberg
, , ,
the the the
former former former
Yankee yanke Yankee
who who who
got got get
the the the
first first first
base base base
hit hit hit
> > >
by by by
a a a
Designated design Designated
Hitter hitter Hitter
, , ,
Jewish jewish Jewish
? ? ?
? ? ?
i i i
have have have
no no no
idea idea idea
, , ,
nor nor nor
do do do
i i i
care care care
. . .
however howev however
, , ,
i i i
' ' '
d d d
like like like
to to to
point point point
out out out
that that that
blomberg blomberg blomberg
got got get
the the the
first first first
plate plate plate
appearance appear appearance
by by by
a a a
designated design designated
hitter hitter hitter
, , ,
and and and
the the the
first first first
walk walk walk
by by by
a a a
designated design designated
hitter hitter hitter
. . .
i i i
am am be
not not not
sure sure sure
, , ,
but but but
i i i
do do do
not not not
think think think
that that that
he he he
also also also
got got get
the the the
first first first
hit hit hit
by by by
a a a
designated design designated
hitter hitter hitter
. . .
bob bob bob
vesterman vesterman vesterman
. . .
