From from From
: : :
fcrary fcrari fcrary
@ @ @
ucsu ucsu ucsu
. . .
Colorado colorado Colorado
. . .
EDU edu EDU
( ( (
Frank frank Frank
Crary crari Crary
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Gun gun Gun
Control control Control
( ( (
was was be
Re re Re
: : :
We we We
' ' '
re re re
Mad mad Mad
as as a
Hell hell Hell
at at at
the the the
TV tv TV
News news News
) ) )
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
ucsu ucsu ucsu
. . .
colorado colorado colorado
. . .
edu edu edu
Organization organ Organization
: : :
University univers University
of of of
Colorado colorado Colorado
, , ,
Boulder boulder Boulder
Lines line Lines
: : :
24 24 24
In in In
article articl article
< < <
C c C
518 518 518
B b B
1 1 1
. . .
AMF amf AMF
@ @ @
magpie magpi magpie
. . .
linknet linknet linknet
. . .
com com com
> > >
manes mane mane
@ @ @
magpie magpi magpie
. . .
linknet linknet linknet
. . .
com com com
( ( (
Steve steve Steve
Manes mane Manes
) ) )
writes write write
: : :
> > >
: : :
> > >
: : :
> > >
Last last Last
year year year
the the the
US us US
suffered suffer suffer
almost almost almost
10 10 10
, , ,
000 000 000
wrongful wrong wrongful
or or or
accidental accident accidental
> > >
: : :
> > >
: : :
> > >
deaths death death
by by by
handguns handgun handgun
alone alon alone
( ( (
FBI fbi FBI
statistics statist statistic
) ) )
. . .
In in In
the the the
same same same
year year year
, , ,
the the the
UK uk UK
> > >
: : :
> > >
: : :
> > >
suffered suffer suffer
35 35 35
such such such
deaths death death
( ( (
Scotland scotland Scotland
Yard yard Yard
statistics statist statistic
) ) )
. . .
The the The
population popul population
> > >
: : :
> > >
: : :
> > >
of of of
the the the
UK uk UK
is is be
about about about
1 1 1
/ / /
5 5 5
that that that
of of of
the the the
US us US
( ( (
10 10 10
, , ,
000 000 000
/ / /
( ( (
35 35 35
* * *
5 5 5
) ) )
) ) )
. . .
Weighted weight Weighted
> > >
: : :
> > >
: : :
> > >
for for for
population popul population
, , ,
the the the
US us US
has has have
57 57 57
x x x
as as a
many mani many
handgun handgun handgun
- - -
related relat related
deaths death death
as as a
the the the
> > >
: : :
> > >
: : :
> > >
UK uk UK
. . .
And and And
, , ,
no no no
, , ,
the the the
Brits brit Brits
don don don
' ' '
t t t
make make make
up up up
for for for
this this this
by by by
murdering murder murder
57 57 57
x x x
as as a
> > >
: : :
> > >
: : :
> > >
many mani many
people peopl people
with with with
baseball basebal baseball
bats bat bat
. . .
> > >
: : :
If if If
you you you
examine examin examine
the the the
figures figur figure
, , ,
they they they
do do do
. . .
Stabbing stab Stabbing
is is be
favourite favourit favourite
, , ,
closely close closely
> > >
: : :
followed follow follow
by by by
striking strike strike
, , ,
punching punch punch
, , ,
kicking kick kick
. . .
Many mani Many
more more more
people peopl people
are are be
burnt burnt burnt
to to to
> > >
: : :
death death death
in in in
Britain britain Britain
as as a
are are be
shot shot shot
to to to
death death death
. . .
Take take Take
at at at
look look look
and and and
you you you
' ' '
ll ll ll
see see see
for for for
> > >
: : :
yourself yourself yourself
. . .
> > >
It it It
means mean mean
that that that
very veri very
few few few
people peopl people
are are be
shot shot shot
to to to
death death death
in in in
Great great Great
Britain britain Britain
. . .
And and And
I i I
' ' '
m m m
sure sure sure
that that that
is is be
a a a
great great great
comfort comfort comfort
to to to
the the the
widows widow widow
and and and
children children child
of of of
those those those
stabbed stab stab
, , ,
beaten beaten beaten
and and and
burned burn burn
to to to
death death death
. . .
The the The
real real real
question question question
is is be
, , ,
" " "
Did did Did
the the the
crime crime crime
rate rate rate
in in in
England england England
go go go
down down down
, , ,
after after after
they they they
enacted enact enact
gun gun gun
control control control
laws law law
? ? ?
" " "
If if If
you you you
look look look
at at at
the the the
rates rate rate
before befor before
and and and
after after after
their their their
first first first
such such such
law law law
in in in
1920 1920 1920
, , ,
you you you
will will will
see see see
no no no
effect effect effect
. . .
Frank frank Frank
Crary crari Crary
CU cu CU
Boulder boulder Boulder
