Subject subject Subject
: : :
Re re Re
: : :
My my My
Gun gun Gun
is is be
like like like
my my my
American american American
Express express Express
Card card Card
From from From
: : :
steiner steiner steiner
@ @ @
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
( ( (
Jason jason Jason
' ' '
Think think Think
! ! !
' ' '
Steiner steiner Steiner
) ) )
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
X x X
- - -
Newsreader newsread Newsreader
: : :
TIN tin TIN
[ [ [
version version version
1 1 1
. . .
1 1 1
PL pl PL
9 9 9
] ] ]
Lines line Lines
: : :
58 58 58
Jason jason Jason
Kratz kratz Kratz
( ( (
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
) ) )
writes write write
: : :
> > >
PA pa PA
146008 146008 146008
@ @ @
utkvm utkvm utkvm
1 1 1
. . .
utk utk utk
. . .
edu edu edu
( ( (
David david David
Veal veal Veal
) ) )
says say say
: : :
> > >
> > >
Jason jason Jason
Kratz kratz Kratz
< < <
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
writes write writes
: : :
> > >
> > >
> > >
> > >
Don don Don
' ' '
t t t
be be be
silly silli silly
. . .
Of of Of
course cours course
you you you
can can can
. . .
The the The
police polic police
have have have
everything everyth everything
> > >
> > >
the the the
gangs gang gang
have have have
and and and
then then then
some some some
. . .
Plus plus Plus
they they they
' ' '
ve ve ve
got got get
access access access
to to to
the the the
> > >
> > >
National nation National
Guard guard Guard
( ( (
via via via
the the the
Governor governor Governor
) ) )
if if if
things thing thing
get get get
too too too
rough rough rough
. . .
That that That
' ' '
s s s
> > >
> > >
tanks tank tank
for for for
those those those
of of of
you you you
who who who
' ' '
ve ve ve
never never never
seen seen see
them them them
at at at
play play play
. . .
Of of Of
course cours course
, , ,
> > >
> > >
they they they
' ' '
ve ve ve
got got get
rifles rifl rifle
and and and
helicopters helicopt helicopter
. . .
> > >
> > >
> > >
> > >
And and And
as as as
far far far
as as a
fully fulli fully
- - -
automatic automat automatic
weapons weapon weapon
, , ,
you you you
can can can
be be be
a a a
lot lot lot
better better well
> > >
> > >
armed arm arm
if if if
you you you
want want want
to to to
hit hit hit
what what what
you you you
aim aim aim
at at at
. . .
> > >
> > >
What what What
seems seem seem
to to to
be be be
happening happen happen
here here here
is is be
the the the
situation situat situation
getting get get
totally total totally
> > >
blown blown blow
out out out
of of of
proportion proport proportion
. . .
In in In
my my my
post post post
I i I
was was be
referring refer refer
to to to
your your your
> > >
regular regular regular
patrolman patrolman patrolman
in in in
a a a
car car car
cruising cruis cruise
around around around
the the the
city citi city
vs vs v
. . .
gang gang gang
> > >
members member member
. . .
Of of Of
course cours course
the the the
police polic police
have have have
access access access
to to to
the the the
things thing thing
that that that
you you you
> > >
mentioned mention mention
but but but
do do do
they they they
use use use
tanks tank tank
and and and
such such such
all all all
of of of
the the the
time time time
? ? ?
Of of Of
> > >
course cours course
they they they
don don don
' ' '
t t t
and and and
that that that
' ' '
s s s
the the the
point point point
I i I
was was be
trying tri try
to to to
make make make
. . .
Every everi Every
> > >
day day day
when when when
I i I
go go go
out out out
to to to
lunch lunch lunch
I i I
always alway always
see see see
cops cop cop
coming come come
in in in
. . .
The the The
> > >
majority major majority
that that that
I i I
see see see
are are be
still still still
carrying carri carry
revolvers revolv revolver
. . .
Not not Not
that that that
there there there
> > >
is is be
anything anyth anything
wrong wrong wrong
with with with
a a a
revolver revolv revolver
but but but
if if if
you you you
' ' '
re re re
a a a
cop cop cop
that that that
is is be
up up up
> > >
against against against
some some some
gang gang gang
member member member
with with with
a a a
couple coupl couple
of of of
automatics automat automatic
in in in
his his his
coat coat coat
( ( (
I i I
> > >
mean mean mean
semi semi semi
- - -
auto auto auto
handguns handgun handgun
) ) )
you you you
' ' '
re re re
going go go
to to to
be be be
at at at
a a a
disadvantage disadvantag disadvantage
even even even
> > >
with with with
training train training
. . .
how how how
so so so
? ? ?
i i i
think think think
you you you
' ' '
re re re
making make make
assumptions assumpt assumption
here here here
that that that
might might might
not not not
necessarily necessarili necessarily
be be be
true true true
. . .
- - -
my my my
- - -
personal person personal
choice choic choice
would would would
be be be
a a a
semi semi semi
- - -
auto auto auto
, , ,
but but but
revolvers revolv revolver
are are be
just just just
as as a
effective effect effective
, , ,
if if if
not not not
more more more
so so so
. . .
> > >
I i I
have have have
been been be
at at at
a a a
shooting shoot shooting
range rang range
where where where
gang gang gang
gang gang gang
members member member
were were be
> > >
" " "
practicing practic practice
" " "
shooting shoot shoot
. . .
They they They
were were be
actually actual actually
practicing practic practice
taking take take
out out out
> > >
their their their
guns gun gun
as as as
quick quick quick
as as a
possible possibl possible
and and and
shooting shoot shoot
at at at
the the the
target target target
and and and
they they they
> > >
weren weren weren
' ' '
t t t
doing do do
too too too
badly bad badly
either either either
. . .
relevancy relev relevancy
, , ,
please pleas please
? ? ?
you you you
sound sound sound
shocked shock shocked
, , ,
but but but
that that that
hardly hard hardly
proves prove prove
anything anyth anything
. . .
> > >
The the The
University univers University
cops cop cop
here here here
( ( (
who who who
are are be
are are be
state state state
cops cop cop
) ) )
are are be
armed arm arm
better better well
> > >
than than than
the the the
Chicago chicago Chicago
police polic police
. . .
It it It
seems seem seem
most most most
state state state
cops cop cop
are are be
. . .
I i I
don don don
' ' '
t t t
> > >
know know know
where where where
you you you
are are be
originally origin originally
from from from
David david David
but but but
you you you
live live live
in in in
Tennesse tenness Tennesse
> > >
and and and
I i I
live live live
in in in
Chicago chicago Chicago
and and and
see see see
this this this
crap crap crap
everyday everyday everyday
on on on
the the the
news news news
and and and
in in in
> > >
the the the
papers paper paper
. . .
I i I
think think think
the the the
situation situat situation
is is be
just just just
a a a
tad tad tad
different differ different
here here here
> > >
than than than
there there there
. . .
wait wait wait
, , ,
doesn doesn doesn
' ' '
t t t
Chicago chicago Chicago
have have have
- - -
serious serious serious
- - -
gun gun gun
control control control
? ? ?
if if if
so so so
, , ,
why whi why
do do do
the the the
police polic police
need need need
all all all
that that that
firepower firepow firepower
in in in
the the the
first first first
place place place
? ? ?
( ( (
sarcasm sarcasm sarcasm
alert alert alert
) ) )
all all all
the the the
patrol patrol patrol
cars car car
i i i
' ' '
ve ve ve
seen seen see
around around around
here here here
have have have
shotguns shotgun shotgun
clamped clamp clamp
to to to
the the the
dash dash dash
board board board
. . .
IMHO imho IMHO
, , ,
that that that
' ' '
s s s
all all all
the the the
police polic police
need need need
to to to
outgun outgun outgun
just just just
about about about
anything anyth anything
. . .
jason jason jason
- - -
- - -
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
The the The
Crystal crystal Crystal
Wind wind Wind
is is be
the the the
Storm storm Storm
, , ,
and and and
the the the
Storm storm Storm
is is be
Data data Data
, , ,
and and and
the the the
Data data Data
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
is is be
Life life Life
- - -
- - -
The the The
Player player Player
' ' '
s s s
Litany litani Litany
, , ,
from from from
_ _ _
The the The
Long long Long
Run run Run
_ _ _
by by by
D d D
. . .
K k K
. . .
Moran moran Moran
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
steiner steiner steiner
@ @ @
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
