From from From
: : :
galvint galvint galvint
@ @ @
cs cs c
. . .
nps nps np
. . .
navy navi navy
. . .
mil mil mil
( ( (
thomas thoma thomas
galvin galvin galvin
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Re re Re
- - -
Alignnment alignn Alignnment
, , ,
Expansion expans Expansion
Organization organ Organization
: : :
Naval naval Naval
Postgraduate postgradu Postgraduate
School school School
, , ,
Monterey monterey Monterey
Lines line Lines
: : :
33 33 33
In in In
article articl article
< < <
C c C
4 4 4
zHJ zhj zHJ
1 1 1
. . .
7 7 7
xB xb xB
@ @ @
idacom idacom idacom
. . .
hp hp hp
. . .
com com com
> > >
andrew andrew andrew
@ @ @
idacom idacom idacom
. . .
hp hp hp
. . .
com com com
( ( (
Andrew andrew Andrew
Scott scott Scott
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
2 2 2
. . .
175946 175946 175946
. . .
7727 7727 7727
@ @ @
nntpd nntpd nntpd
2 2 2
. . .
cxo cxo cxo
. . .
dec dec dec
. . .
com com com
> > >
nixdorf nixdorf nixdorf
@ @ @
etre etr etre
( ( (
Eric eric Eric
Nixdorf nixdorf Nixdorf
) ) )
writes write write
: : :
> > >
> > >
> > >
> > >
Looking look Looking
at at at
the the the
way way way
the the the
divisions divis division
were were be
re re re
- - -
aligned align align
, , ,
there there there
are are be
six six six
teams team team
each each each
> > >
> > >
in in in
the the the
Central central Central
( ( (
Norris norri Norris
) ) )
and and and
Pacific pacif Pacific
( ( (
Smyth smyth Smyth
) ) )
divisions divis division
, , ,
while while while
there there there
are are be
seven seven seven
> > >
> > >
teams team team
each each each
in in in
the the the
Northeast northeast Northeast
( ( (
Adams adam Adams
) ) )
and and and
Atlantic atlant Atlantic
( ( (
Patrick patrick Patrick
) ) )
divisions divis division
. . .
The the The
> > >
> > >
thought thought think
occurs occur occurs
to to to
me me me
that that that
inherent inher inherent
in in in
the the the
realignment realign realignment
is is be
expansion expans expansion
of of of
one one one
team team team
> > >
> > >
in in in
the the the
Central central Central
division divis division
and and and
one one one
team team team
in in in
the the the
Pacific pacif Pacific
division divis division
, , ,
although although although
I i I
' ' '
ve ve ve
> > >
> > >
seen seen see
nothing noth nothing
published publish publish
that that that
indicates indic indicate
that that that
. . .
> > >
> > >
Actually actual Actually
, , ,
when when when
the the the
NHL nhl NHL
expansion expans expansion
committee committe committee
was was be
formed form form
a a a
couple coupl couple
of of of
years year year
back back back
> > >
( ( (
before befor before
the the the
Ottawa ottawa Ottawa
and and and
Tampa tampa Tampa
Bay bay Bay
expansion expans expansion
) ) )
, , ,
John john John
Zeigler zeigler Zeigler
stated state state
at at at
the the the
time time time
> > >
that that that
it it it
was was be
the the the
NHL nhl NHL
' ' '
s s s
expansion expans expansion
plan plan plan
to to to
grow grow grow
to to to
28 28 28
teams team team
( ( (
7 7 7
per per per
division divis division
) ) )
by by by
> > >
the the the
turn turn turn
of of of
the the the
century centuri century
. . .
> > >
> > >
- - -
- - -
> > >
Andrew andrew Andrew
Scott scott Scott
| | |
andrew andrew andrew
@ @ @
idacom idacom idacom
. . .
hp hp hp
. . .
com com com
> > >
HP hp HP
IDACOM idacom IDACOM
Telecom telecom Telecom
Division divis Division
| | |
( ( (
403 403 403
) ) )
462 462 462
- - -
0666 0666 0666
ext ext ext
. . .
253 253 253
> > >
> > >
During dure During
the the the
Roman roman Roman
Era era Era
, , ,
28 28 28
was was be
considered consid consider
old old old
. . .
. . .
. . .
Last last Last
night night night
during dure during
a a a
Sharks shark Sharks
' ' '
broadcast broadcast broadcast
, , ,
Commissioner commission Commissioner
Bettman bettman Bettman
was was be
interviewed interview interview
during dure during
the the the
first first first
intermission intermiss intermission
. . .
He he He
made made make
no no no
bones bone bone
about about about
it it it
, , ,
the the the
expansion expans expansion
to to to
28 28 28
is is be
on on on
permanent perman permanent
hold hold hold
until until until
he he he
is is be
satisfied satisfi satisfied
that that that
the the the
current current current
allotment allot allotment
of of of
26 26 26
are are be
fully fulli fully
stable stabl stable
. . .
This this This
means mean mean
that that that
cities citi city
looking look look
for for for
a a a
club club club
in in in
the the the
foreseeable forese foreseeable
future futur future
will will will
have have have
to to to
wait wait wait
until until until
one one one
team team team
in in in
some some some
location locat location
fails fail fail
or or or
looks look look
to to to
relocate reloc relocate
. . .
This this This
is is be
good good good
, , ,
IMO imo IMO
. . .
There there There
' ' '
s s s
no no no
sense sens sense
in in in
expanding expand expand
if if if
it it it
only onli only
means mean mean
more more more
failing fail failing
franchises franchis franchise
are are be
in in in
the the the
mold mold mold
. . .
- - -
Tom tom Tom
Galvin galvin Galvin
galvint galvint galvint
@ @ @
taurus taurus taurus
. . .
cs cs c
. . .
nps nps np
. . .
navy navi navy
. . .
mil mil mil
