Subject subject Subject
: : :
NHL nhl NHL
Summary summari Summary
parse pars parse
results result result
for for for
games game game
played play play
Sun sun Sun
, , ,
April april April
4 4 4
, , ,
1993 1993 1993
From from From
: : :
c c c
5 5 5
ff ff ff
@ @ @
jupiter jupit jupiter
. . .
sun sun sun
. . .
csd csd csd
. . .
unb unb unb
. . .
ca ca ca
( ( (
COOK cook COOK
Charlie charli Charlie
) ) )
Organization organ Organization
: : :
University univers University
of of of
New new New
Brunswick brunswick Brunswick
Lines line Lines
: : :
210 210 210
NY ny NY
Rangers ranger Rangers
3 3 3
1 1 1
0 0 0
- - -
- - -
4 4 4
Washington washington Washington
0 0 0
0 0 0
0 0 0
- - -
- - -
0 0 0
First first First
period period period
1 1 1
, , ,
NY ny NY
Rangers ranger Rangers
, , ,
Graves grave Graves
33 33 33
( ( (
Turcotte turcott Turcotte
, , ,
Lowe low Lowe
) ) )
9 9 9
: : :
13 13 13
. . .
2 2 2
, , ,
NY ny NY
Rangers ranger Rangers
, , ,
Gartner gartner Gartner
44 44 44
( ( (
Messier messier Messier
) ) )
11 11 11
: : :
21 21 21
. . .
3 3 3
, , ,
NY ny NY
Rangers ranger Rangers
, , ,
Olczyk olczyk Olczyk
21 21 21
( ( (
Messier messier Messier
, , ,
Amonte amont Amonte
) ) )
14 14 14
: : :
57 57 57
. . .
Second second Second
period period period
4 4 4
, , ,
NY ny NY
Rangers ranger Rangers
, , ,
Beukeboom beukeboom Beukeboom
2 2 2
( ( (
unassisted unassist unassisted
) ) )
3 3 3
: : :
30 30 30
. . .
Third third Third
period period period
No no No
scoring score scoring
. . .
NY ny NY
Rangers ranger Rangers
: : :
4 4 4
Power power Power
play play play
: : :
4 4 4
- - -
0 0 0
Scorer scorer Scorer
G g G
A a A
Pts pts Pts
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
Amonte amont Amonte
0 0 0
