From from From
: : :
drand drand drand
@ @ @
spinner spinner spinner
. . .
osf osf osf
. . .
org org org
( ( (
Douglas dougla Douglas
S s S
. . .
Rand rand Rand
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Drawing draw Drawing
Lines line Lines
( ( (
inverse invers inverse
/ / /
xor xor xor
) ) )
In in In
- - -
Reply repli Reply
- - -
To to To
: : :
singg singg singg
@ @ @
alf alf alf
. . .
uib uib uib
. . .
no no no
' ' '
s s s
message messag message
of of of
Wed wed Wed
, , ,
21 21 21
Apr apr Apr
93 93 93
11 11 11
: : :
19 19 19
: : :
19 19 19
GMT gmt GMT
Organization organ Organization
: : :
Open open Open
Software softwar Software
Foundation foundat Foundation
Lines line Lines
: : :
47 47 47
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
21 21 21
. . .
111919 111919 111919
. . .
5281 5281 5281
@ @ @
alf alf alf
. . .
uib uib uib
. . .
no no no
> > >
singg singg singg
@ @ @
alf alf alf
. . .
uib uib uib
. . .
no no no
( ( (
Kurt kurt Kurt
George georg George
Gjerde gjerd Gjerde
) ) )
writes write write
: : :
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
19 19 19
. . .
191531 191531 191531
. . .
15865 15865 15865
@ @ @
news news news
. . .
media media medium
. . .
mit mit mit
. . .
edu edu edu
> > >
, , ,
dyoung dyoung dyoung
@ @ @
media media medium
. . .
mit mit mit
. . .
edu edu edu
( ( (
David david David
Young young Young
) ) )
writes write write
: : :
: : :
: : :
| | |
> > >
XSetFunction xsetfunct XSetFunction
( ( (
myDisplay mydisplay myDisplay
, , ,
gc gc gc
, , ,
GXxor gxxor GXxor
) ) )
; ; ;
| | |
> > >
XSetForeground xsetforeground XSetForeground
( ( (
myDisplay mydisplay myDisplay
, , ,
gc gc gc
, , ,
drawIndex drawindex drawIndex
) ) )
; ; ;
| | |
> > >
| | |
> > >
Then then Then
to to to
draw draw draw
I i I
do do do
: : :
| | |
> > >
| | |
> > >
XDrawLine xdrawlin XDrawLine
( ( (
myDisplay mydisplay myDisplay
, , ,
XtWindow xtwindow XtWindow
( ( (
drawingArea drawingarea drawingArea
1 1 1
) ) )
, , ,
gc gc gc
, , ,
x x x
1 1 1
, , ,
y y y
1 1 1
, , ,
x x x
2 2 2
, , ,
y y y
2 2 2
) ) )
; ; ;
| | |
> > >
XFlush xflush XFlush
( ( (
myDisplay mydisplay myDisplay
) ) )
; ; ;
| | |
