From from From
: : :
ak ak ak
954 954 954
@ @ @
yfn yfn yfn
. . .
ysu ysu ysu
. . .
edu edu edu
( ( (
Albion albion Albion
H h H
. . .
Bowers bower Bowers
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Too too Too
fast fast fast
Organization organ Organization
: : :
St st St
. . .
Elizabeth elizabeth Elizabeth
Hospital hospit Hospital
, , ,
Youngstown youngstown Youngstown
, , ,
OH oh OH
Lines line Lines
: : :
42 42 42
Reply repli Reply
- - -
To to To
: : :
ak ak ak
954 954 954
@ @ @
yfn yfn yfn
. . .
ysu ysu ysu
. . .
edu edu edu
( ( (
Albion albion Albion
H h H
. . .
Bowers bower Bowers
) ) )
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
yfn yfn yfn
. . .
ysu ysu ysu
. . .
edu edu edu
In in In
a a a
previous previous previous
article articl article
, , ,
tedebear tedebear tedebear
@ @ @
leland leland leland
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
( ( (
Theodore theodor Theodore
Chen chen Chen
) ) )
says say say
: : :
> > >
In in In
article articl article
< < <
1 1 1
qh qh qh
61 61 61
m m m
$ $ $
b b b
6 6 6
l l l
@ @ @
armory armori armory
. . .
centerline centerlin centerline
. . .
com com com
> > >
jimf jimf jimf
@ @ @
centerline centerlin centerline
. . .
com com com
( ( (
Jim jim Jim
Frost frost Frost
) ) )
writes write write
: : :
> > >
> > >
Compare compar Compare
either either either
to to to
the the the
Porsche porsch Porsche
911 911 911
and and and
you you you
tell tell tell
me me me
which which which
was was be
designed design design
> > >
> > >
to to to
go go go
fast fast fast
. . .
> > >
you you you
have have have
a a a
point point point
about about about
the the the
brakes brake brake
, , ,
especially especi especially
seeing see see
as as a
how how how
the the the
> > >
mustang mustang mustang
doesn doesn doesn
' ' '
t t t
even even even
have have have
disc disc disc
brakes brake brake
in in in
the the the
back back back
. . .
> > >
but but but
there there there
are are be
significant signific significant
differences differ difference
between between between
the the the
latest latest late
911 911 911
s s s
and and and
> > >
the the the
late late late
80 80 80
' ' '
s s s
911 911 911
s s s
, , ,
not not not
the the the
least least least
of of of
which which which
is is be
handling handl handle
. . .
i i i
' ' '
m m m
not not not
^ ^ ^
^ ^ ^
I i I
think think think
you you you
mean mean mean
late late late
' ' '
60 60 60
s s s
. . .
The the The
biggest biggest big
change chang change
that that that
Porsche porsch Porsche
undertook undertook undertake
to to to
alter alter alter
the the the
tailhappieness tailhappi tailhappieness
of of of
their their their
baby babi baby
was was be
way way way
back back back
in in in
August august August
1968 1968 1968
( ( (
for for for
the the the
' ' '
69 69 69
model model model
year year year
) ) )
when when when
they they they
stretched stretch stretch
the the the
wheelbase wheelbas wheelbase
. . .
Besides besid Besides
, , ,
some some some
people peopl people
actually actual actually
_ _ _
KNOW know KNOW
_ _ _
how how how
to to to
take take take
advantage advantag advantage
of of of
oversteer overst oversteer
, , ,
and and and
enjoy enjoy enjoy
it it it
. . .
> > >
in in in
europe europ europe
. . .
the the the
911 911 911
got got get
low low low
marks mark mark
for for for
high high high
speed speed speed
handling handl handling
( ( (
though though though
to to to
> > >
be be be
fair fair fair
, , ,
they they they
might might might
have have have
been been be
comparing compar compare
it it it
to to to
the the the
vette vett vette
' ' '
s s s
handling handl handling
) ) )
. . .
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
> > >
what what what
was was be
that that that
phil phil phil
hill hill hill
( ( (
famous famous famous
race race race
car car car
driver driver driver
) ) )
said said say
about about about
the the the
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
You you You
should should should
have have have
seen seen see
what what what
Phil phil Phil
Hill hill Hill
( ( (
_ _ _
* * *
WORLD world WORLD
CHAMPION champion CHAMPION
* * *
_ _ _
) ) )
had had have
to to to
say say say
about about about
the the the
Vette vett Vette
' ' '
s s s
he he he
' ' '
s s s
driven driven driven
. . .
> > >
911 911 911
turbo turbo turbo
? ? ?
you you you
can can can
' ' '
t t t
make make make
a a a
thoroughbred thoroughbr thoroughbred
out out out
of of of
a a a
pig pig pig
, , ,
but but but
you you you
can can can
> > >
have have have
an an an
awful aw awful
fast fast fast
pig pig pig
. . .
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
Yeah yeah Yeah
, , ,
that that that
was was be
what what what
he he he
said said say
. . .
: : :
- - -
) ) )
Paul paul Paul
Frere frere Frere
agreed agre agree
. . .
They they They
both both both
prefered prefer prefer
the the the
Porsche porsch Porsche
( ( (
modified modifi modify
by by by
Ruf ruf Ruf
) ) )
to to to
either either either
of of of
the the the
Vette vett Vette
' ' '
s s s
at at at
that that that
test test test
. . .
- - -
- - -
Al al Al
Bowers bower Bowers
DOD dod DOD
# # #
900 900 900
Alfa alfa Alfa
Ducati ducati Ducati
Hobie hobi Hobie
Kottke kottk Kottke
' ' '
blad blad blad
Iaido iaido Iaido
NASA nasa NASA
" " "
Well well Well
goodness good goodness
sakes sake sake
. . .
. . .
. . .
don don don
' ' '
t t t
you you you
know know know
that that that
girls girl girl
can can can
' ' '
t t t
play play play
guitar guitar guitar
? ? ?
" " "
- - -
Mary mari Mary
Chapin chapin Chapin
- - -
Carpenter carpent Carpenter
