From from From
: : :
REXLEX rexlex REXLEX
@ @ @
fnal fnal fnal
. . .
fnal fnal fnal
. . .
gov gov gov
Subject subject Subject
: : :
Re re Re
: : :
Certainty certainti Certainty
and and and
Arrogance arrog Arrogance
Organization organ Organization
: : :
FNAL fnal FNAL
/ / /
AD ad AD
/ / /
Net net Net
Lines line Lines
: : :
70 70 70
In in In
article articl article
< < <
Apr apr Apr
. . .
13 13 13
. . .
00 00 00
. . .
08 08 08
. . .
33 33 33
. . .
1993 1993 1993
. . .
28409 28409 28409
@ @ @
athos atho athos
. . .
rutgers rutger rutgers
. . .
edu edu edu
> > >
kilroy kilroy kilroy
@ @ @
gboro gboro gboro
. . .
rowan rowan rowan
. . .
edu edu edu
( ( (
Dr dr Dr
Nancy nanci Nancy
' ' '
s s s
Sweetie sweeti Sweetie
) ) )
writes write write
: : :
> > >
> > >
There there There
is is be
no no no
way way way
out out out
of of of
the the the
loop loop loop
. . .
Oh oh Oh
contrer contrer contrer
mon mon mon
captitan captitan captitan
! ! !
There there There
is is be
a a a
way way way
. . .
Certainly certain Certainly
it it it
is is be
not not not
by by by
human human human
reason reason reason
. . .
Certainly certain Certainly
it it it
is is be
not not not
by by by
human human human
experience experi experience
. . .
( ( (
and and and
yet yet yet
it it it
is is be
both both both
! ! !
) ) )
To to To
paraphrase paraphras paraphrase
Sartre sartr Sartre
, , ,
the the the
particular particular particular
is is be
absurd absurd absurd
unless unless unless
it it it
has has have
an an an
infinite infinit infinite
reference refer reference
point point point
. . .
It it It
is is be
only onli only
because becaus because
of of of
God god God
' ' '
s s s
own own own
revelation revel revelation
that that that
we we we
can can can
be be be
absolute absolut absolute
about about about
a a a
thing thing thing
. . .
Your your Your
logic logic logic
comes come come
to to to
fruition fruition fruition
in in in
relativism relativ relativism
. . .
> > >
> > >
" " "
At at At
the the the
core core core
of of of
all all all
well well well
- - -
founded found found
belief belief belief
, , ,
lies lie lie
belief belief belief
that that that
is is be
unfounded unfound unfounded
. . .
" " "
> > >
- - -
- - -
Ludwig ludwig Ludwig
Wittgenstein wittgenstein Wittgenstein
Ah ah Ah
, , ,
now now now
it it it
is is be
