Subject subject Subject
: : :
Re re Re
: : :
Drinking drink Drinking
and and and
Riding ride Riding
From from From
: : :
bclarke bclark bclarke
@ @ @
galaxy galaxi galaxy
. . .
gov gov gov
. . .
bc bc bc
. . .
ca ca ca
Organization organ Organization
: : :
BC bc BC
Systems system Systems
Corporation corpor Corporation
Lines line Lines
: : :
11 11 11
In in In
article articl article
< < <
C c C
514 514 514
ut ut ut
. . .
A a A
5 5 5
I i I
@ @ @
magpie magpi magpie
. . .
linknet linknet linknet
. . .
com com com
> > >
, , ,
manes mane mane
@ @ @
magpie magpi magpie
. . .
linknet linknet linknet
. . .
com com com
( ( (
Steve steve Steve
Manes mane Manes
) ) )
writes write write
: : :
{ { {
drinking drink drink
& & &
riding ride rid
} } }
> > >
It it It
depends depend depend
on on on
how how how
badly bad badly
you you you
want want want
to to to
live live live
. . .
The the The
FAA faa FAA
says say say
" " "
eight eight eight
hours hour hour
, , ,
bottle bottl bottle
> > >
to to to
throttle throttl throttle
" " "
for for for
pilots pilot pilot
but but but
recommends recommend recommend
twenty twenti twenty
- - -
four four four
hours hour hour
. . .
The the The
FARs far FARs
specify specifi specify
> > >
a a a
blood blood blood
/ / /
alcohol alcohol alcohol
level level level
of of of
0 0 0
. . .
4 4 4
as as a
legally legal legally
drunk drunk drink
, , ,
I i I
think think think
, , ,
which which which
is is be
more more more
than than than
> > >
twice twice twice
as as as
strict strict strict
as as a
DWI dwi DWI
minimums minimum minimum
. . .
0 0 0
. . .
20 20 20
is is be
DWI dwi DWI
in in in
New new New
York york York
? ? ?
Here here Here
the the the
limit limit limit
is is be
0 0 0
. . .
08 08 08
! ! !
- - -
- - -
Bruce bruce Bruce
Clarke clark Clarke
B b B
. . .
C c C
. . .
Environment environ Environment
e e e
- - -
mail mail mail
: : :
bclarke bclark bclarke
@ @ @
galaxy galaxi galaxy
. . .
gov gov gov
. . .
bc bc bc
. . .
ca ca ca
