From from From
: : :
davet davet davet
@ @ @
interceptor interceptor interceptor
. . .
cds cds cd
. . .
tek tek tek
. . .
com com com
( ( (
Dave dave Dave
Tharp tharp Tharp
CDS cds CDS
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Rejetting rejet Rejetting
carbs carb carbs
. . .
. . .
Keywords keyword Keywords
: : :
air air air
pump pump pump
Distribution distribut Distribution
: : :
na na na
Organization organ Organization
: : :
Tektronix tektronix Tektronix
- - -
Colorado colorado Colorado
Data data Data
Systems system Systems
, , ,
Englewood englewood Englewood
, , ,
CO co CO
Lines line Lines
: : :
58 58 58
In in In
article articl article
< < <
jburney jburney jburney
. . .
734756216 734756216 734756216
@ @ @
hydra hydra hydra
. . .
nodc nodc nodc
. . .
noaa noaa noaa
. . .
gov gov gov
> > >
jburney jburney jburney
@ @ @
hydra hydra hydra
. . .
nodc nodc nodc
. . .
noaa noaa noaa
. . .
gov gov gov
( ( (
Jeff jeff Jeff
Burney burney Burney
) ) )
writes write write
: : :
> > >
> > >
If if If
we we we
are are be
only onli only
talking talk talk
about about about
4 4 4
- - -
stroke stroke stroke
( ( (
I i I
think think think
I i I
can can can
understand understand understand
exhaust exhaust exhaust
> > >
pulse puls pulse
affect affect affect
in in in
a a a
2 2 2
- - -
stroke stroke stroke
) ) )
, , ,
the the the
intake intak intake
valve valv valve
is is be
closed close close
on on on
the the the
> > >
exhaust exhaust exhaust
stroke stroke stroke
and and and
the the the
gas gas gas
is is be
pushed push push
out out out
by by by
the the the
cyclinder cyclind cyclinder
. . .
I i I
guess guess guess
> > >
there there there
is is be
some some some
gas gas gas
compression compress compression
that that that
may may may
affect affect affect
the the the
amount amount amount
pushed push push
out out out
> > >
but but but
the the the
limiting limit limiting
factor factor factor
seems seem seem
to to to
be be be
the the the
header header header
pipe pipe pipe
and and and
not not not
the the the
> > >
canister canist canister
. . .
Meaning mean Meaning
: : :
would would would
gases gase gas
" " "
so so so
far far far
" " "
down down down
the the the
line line line
( ( (
the the the
canister canist canister
) ) )
> > >
really realli really
have have have
an an an
effect effect effect
on on on
the the the
exhaust exhaust exhaust
stroke stroke stroke
? ? ?
Do do Do
the the the
gases gase gas
really realli really
> > >
compress compress compress
that that that
much much much
? ? ?
For for For
discussion discuss discussion
purposes purpos purpose
, , ,
I i I
will will will
ignore ignor ignore
dynamic dynam dynamic
effects effect effect
like like like
pulses puls pulse
in in in
the the the
exhaust exhaust exhaust
pipe pipe pipe
, , ,
and and and
try tri try
to to to
paint paint paint
a a a
useful use useful
mental mental mental
picture pictur picture
. . .
1 1 1
. . .
Unless unless Unless
an an an
engine engin engine
is is be
supercharged supercharg supercharge
, , ,
the the the
pressure pressur pressure
available avail available
to to to
force forc force
air air air
into into into
the the the
intake intak intake
tract tract tract
is is be
_ _ _
atmospheric atmospher atmospheric
_ _ _
. . .
At at At
the the the
time time time
the the the
intake intak intake
valve valv valve
is is be
opened open open
, , ,
the the the
pressure pressur pressure
differential differenti differential
available avail available
to to to
move move move
air air air
is is be
only onli only
the the the
difference differ difference
between between between
the the the
combustion combust combustion
chamber chamber chamber
pressure pressur pressure
( ( (
left left leave
over over over
after after after
the the the
